GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Jan 02 16:43:30 GMT+05:30 2020,43:29.4,78.53194527,17.34493363,0,3.216,425.7946777,0,8.78673553,-1.05209422,2.44139218,0.02641907,-,12.94117641,-0.06389154,0.89569163,-0.10724711,0.1488677,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,89,-,23.92156982,17.25490189,-,-,701,0.00998599,0.15812777,0.00263546,6.84938383,-7.8125,2.34375,-,2.34375,3.21600008,425.7946777,0,17.34493446,78.53194427,25,0,-,43,4.20609426,0,12.24802685,8.16441059,0,34.59894562,0.095,0.685,2.74509811,655,0,0,12.94117641,-1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.33399963,13.30000019,-
Thu Jan 02 16:43:31 GMT+05:30 2020,43:30.4,78.53193719,17.34493084,1.1,3.216,424.4661865,140.3,9.72336674,-1.02813959,1.9215734,0.03476006,-,14.50980377,0.01065461,0.98616296,-0.11310761,0.08818714,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,89,-,23.92156982,25.49019623,-,-,701,0.00998599,0.15812777,0.00263546,6.84938383,-7.8125,2.34375,-,2.34375,3.21600008,424.4661865,140.3000031,17.34493065,78.53193665,27,0,-,43,4.20609426,0,12.24802685,8.16441059,0,34.59894562,0.095,0.685,4.31372547,660,3.96000004,0,12.94117641,-1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.33399963,13.30000019,-
Thu Jan 02 16:43:32 GMT+05:30 2020,43:31.4,78.53193721,17.34493467,0,3.216,424.6347046,0,9.71977425,-1.14192474,1.79461288,0.03561417,-,14.50980377,0.02047593,0.99470967,-0.1094448,0.09807672,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,89,-,23.92156982,25.49019623,-,-,701,0.00998599,0.15812777,0.00263546,6.84938383,-7.8125,2.34375,-,2.34375,3.21600008,424.6347046,0,17.34493446,78.53193665,28,0,-,43,4.20609426,0,12.24802685,8.16441059,0,34.59894562,0.095,0.685,4.31372547,660,0,0,12.94117641,-1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.33399963,13.30000019,-
Thu Jan 02 16:43:33 GMT+05:30 2020,43:32.4,78.53193764,17.3449364,0,3.216,424.5866699,0,9.76409054,-1.13833141,1.91917801,0.03662959,-,14.50980377,-0.00448623,0.97102338,-0.11152039,0.08721037,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,90,-,33.72549057,25.49019623,-,-,746.5,0.00998599,0.15812777,0.00263546,6.84938383,-7.8125,2.34375,-,2.34375,3.21600008,424.5866699,0,17.34493637,78.53193665,28,0,-,43,5.65647173,0,12.24793816,8.16446972,0,34.59869766,0.095,0.685,4.31372547,660,0,0,12.94117641,-1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-8.12211418,-,13.33399963,13.30000019,-
Thu Jan 02 16:43:34 GMT+05:30 2020,43:33.4,78.53193803,17.34493773,0,3.216,424.5544434,0,9.75570583,-1.1670773,2.08207035,0.03592936,-,14.50980377,0.01492359,0.98848283,-0.1154274,0.09734416,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,90,-,33.72549057,25.49019623,-,-,746.5,0.00998599,0.15812777,0.00263546,6.84938383,-7.8125,5.46875,-,5.46875,3.21600008,424.5544434,0,17.34493828,78.53193665,28,0,-,44,5.65647173,0,12.24793816,8.16446972,0,34.59869766,0.65499997,0.69,4.31372547,660,0,0,14.50980377,1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-8.12211418,-,13.19299984,13.30000019,-
Thu Jan 02 16:43:35 GMT+05:30 2020,43:34.4,78.53193858,17.34494065,0,3.216,424.5404053,0,9.86470032,-1.32996988,2.28808165,0.03356753,-,14.50980377,-0.00447645,0.96284318,-0.13227633,0.11407101,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,90,-,33.72549057,25.49019623,-,-,746.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,5.46875,-,5.46875,3.21600008,424.5404053,0,17.34494019,78.53193665,28,0,-,44,5.65647173,0,12.24793816,8.16446972,0,34.59869766,0.65499997,0.69,4.31372547,660,0,0,14.50980377,1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-8.12211418,-,13.19299984,13.30000019,-
Thu Jan 02 16:43:36 GMT+05:30 2020,43:35.5,78.53193744,17.3449434,0,3.216,424.0102539,0,9.65749168,-1.16468167,1.70478249,0.02569956,-,12.94117641,0.00632293,0.99165726,-0.10016568,0.0362973,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,90,-,33.72549057,17.25490189,-,-,746.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,5.46875,-,5.46875,3.21600008,424.0102539,0,17.344944,78.53193665,28,0,-,44,5.65647173,0,12.24793816,8.16446972,0,34.59869766,0.65499997,0.69,2.74509811,660,0,0,14.50980377,1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-8.12211418,-,13.19299984,13.30000019,-
Thu Jan 02 16:43:37 GMT+05:30 2020,43:36.4,78.53193722,17.34494557,0,3.216,423.9316406,0,9.68384171,-1.14551795,1.79101968,0.0351949,-,12.94117641,0.0038004,0.9787153,-0.11713671,0.08794296,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,90,-,33.72549057,17.25490189,-,-,746.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,5.46875,-,5.46875,3.21600008,423.9316406,0,17.34494591,78.53193665,28,0,-,44,5.65647173,0,12.24793816,8.16446972,0,34.59869766,0.65499997,0.69,2.74509811,665,0,0,14.50980377,1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-8.12211418,-,13.19299984,13.30000019,-
Thu Jan 02 16:43:38 GMT+05:30 2020,43:37.4,78.5319369,17.34494823,0,3.216,423.6744385,0,9.63473511,-1.15509987,1.67483902,0.03494035,-,12.94117641,0.02917965,0.99922705,-0.11469483,0.11651289,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,90,-,33.72549057,17.25490189,-,-,746.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,5.46875,-,5.46875,3.21600008,423.6744385,0,17.34494781,78.53193665,28,0,-,44,5.65647173,0,12.24793816,8.16446972,0,34.59869766,0.65499997,0.69,2.74509811,665,0,0,14.50980377,1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-8.12211418,-,13.19299984,13.30000019,-
Thu Jan 02 16:43:39 GMT+05:30 2020,43:38.4,78.53193783,17.34495132,0,3.216,423.4926758,0,9.70779705,-1.19103193,1.72274864,0.03497567,-,12.94117641,0.01887319,0.99348867,-0.11567158,0.09233832,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,90,-,23.92156982,17.64705849,-,-,696,0.01868541,0.00487588,0.00008126,6.84908199,-8.59375,0.78125,-,0.78125,3.21600008,423.4926758,0,17.34495163,78.53193665,26,0,-,44,4.20609426,0,12.24785042,8.16452789,0,34.59844589,0.22,0.69,2.74509811,668,0,0,12.94117641,-2.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.3579998,13.30000019,-
