GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Jan 02 17:30:09 GMT+05:30 2020,02-Jan-2020 18:00:40.604,78.53362083435059,17.34537363052368,1.37,61.000004,0.0,246.44531,4.53116703,5.21687317,1.05201459,-0.07819437,-,12.94117641,0.2768712,-0.02599377,1.21527183,0.28951964,14.90196133,7.45098066,-,-,-,-,16.12114906,14.92585564,13.77858543,224.15359497,-,-,-,-,24.70588303,18.03921509,-,-,697,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,-,61.00000381,-,246.4453125,-,-,2,0,-,-,-,0,12.26679993,8.15191555,0,34.65197754,0.78499997,0.76999998,3.13725495,329,-,-,13.33333397,-1.5,-,12.7183857,7.8624692,35.92764282,-,-,-,-,-9.42745399,-,13.82900047,13.89999962,-
Thu Jan 02 17:30:09 GMT+05:30 2020,02-Jan-2020 18:00:41.597,78.53362083435059,17.34537363052368,1.37,61.000004,0.0,246.44531,4.53116703,5.21687317,1.05201459,-0.07819437,-,12.94117641,0.2768712,-0.02599377,1.21527183,0.28951964,14.90196133,7.45098066,-,-,-,-,16.12114906,14.92585564,13.77858543,224.15359497,-,-,-,-,24.70588303,18.03921509,-,-,697,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,-,61.00000381,-,246.4453125,-,-,2,0,-,-,-,0,12.26679993,8.15191555,0,34.65197754,0.78499997,0.76999998,3.13725495,329,-,-,13.33333397,-1.5,-,12.7183857,7.8624692,35.92764282,-,-,-,-,-9.42745399,-,13.82900047,13.89999962,-
Thu Jan 02 17:30:09 GMT+05:30 2020,02-Jan-2020 18:00:42.597,78.53362083435059,17.34537363052368,1.37,61.000004,0.0,246.44531,1.64686966,5.41860914,7.54591799,0.01470333,-,12.94117641,-0.03792391,0.16787662,0.55235565,0.66920668,14.90196133,7.45098066,-,-,-,-,16.12114906,14.92585564,13.77858543,224.15359497,-,-,-,-,24.70588303,18.03921509,-,-,697,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,-,61.00000381,-,246.4453125,-,-,0,0,-,-,-,0,12.26679993,8.15191555,0,34.65197754,0.78499997,0.76999998,3.13725495,329,-,-,13.33333397,-1.5,-,12.7183857,7.8624692,35.92764282,-,-,-,-,-9.42745399,-,13.82900047,13.89999962,-
Thu Jan 02 18:00:42 GMT+05:30 2020,02-Jan-2020 18:00:43.599,78.53375494480133,17.34543263912201,0.0,17.152,447.42974853515625,0.0,0.69396693,6.95085907,6.9326148,0.02222162,-,12.94117641,0.01758331,0.09858154,0.69581944,0.63544929,14.90196133,7.45098066,-,-,-,-,16.12114906,14.92585564,13.77858543,224.15359497,-,-,-,-,24.70588303,18.03921509,-,-,697,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,-,17.15200043,447.42974854,0,17.34543228,78.53375244,0,0,-,-,-,0,12.26679993,8.15191555,0,34.65197754,0.78499997,0.76999998,3.13725495,329,-,-,13.33333397,-1.5,-,12.7183857,7.8624692,35.92764282,-,-,-,-,-9.42745399,-,13.82900047,13.89999962,-
Thu Jan 02 18:00:44 GMT+05:30 2020,02-Jan-2020 18:00:44.597,78.53373632,17.3454025,0.0,11.792,441.0477294921875,0.0,1.67571437,5.22343159,7.88217163,-0.0020836,-,12.94117641,-0.02074916,0.17081696,0.53245986,0.70348334,14.90196133,7.45098066,-,-,-,-,16.12114906,14.92585564,13.77858543,224.15359497,-,-,-,-,24.70588303,18.03921509,-,-,697,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,-,11.79199982,441.04772949,0,17.34540176,78.53373718,13,0,-,-,-,0,12.26679993,8.15191555,0,34.65197754,0.78499997,0.76999998,3.13725495,329,-,-,13.33333397,-1.5,-,12.7183857,7.8624692,35.92764282,-,-,-,-,-9.42745399,-,13.82900047,13.89999962,-
Thu Jan 02 18:00:45 GMT+05:30 2020,02-Jan-2020 18:00:45.601,78.53375844,17.34538477,0.0,8.576,433.0726318359375,0.0,0.52841902,6.07204485,7.74473,0.02643839,-,12.94117641,0.00736341,0.04570338,0.62811637,0.68579203,14.90196133,7.45098066,-,-,-,-,-,-,13.77858543,224.15359497,-,-,-,-,24.70588303,18.03921509,-,-,697,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,-,8.57600021,433.07263184,0,17.3453846,78.53376007,16,0,-,-,-,0,12.26679993,8.15191555,0,34.65197754,0.78499997,0.76999998,3.13725495,329,0,-,13.33333397,-1.5,-,12.7183857,7.8624692,35.92764282,-,0,0,0,-9.42745399,-,13.82900047,13.89999962,-
Thu Jan 02 18:00:47 GMT+05:30 2020,02-Jan-2020 18:00:46.603,78.53377291,17.34538486,0.0,4.288,433.23114013671875,0.0,0.79062742,6.01456738,8.12825775,0.01941665,-,12.94117641,0.01554914,0.0772975,0.61689067,0.70256263,14.90196133,7.45098066,-,-,-,-,-,-,13.77858543,224.15359497,-,-,-,-,24.70588303,18.03921509,-,-,697,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,-,4.28800011,433.23114014,0,17.3453846,78.53377533,16,0,-,-,-,0,12.26679993,8.15191555,0,34.65197754,0.78499997,0.76999998,3.13725495,329,0,-,13.33333397,-1.5,-,12.7183857,7.8624692,35.92764282,-,0,0,0,-9.42745399,-,13.82900047,13.89999962,-
Thu Jan 02 18:00:48 GMT+05:30 2020,02-Jan-2020 18:00:47.598,78.53378423,17.34539134,0.0,4.288,433.259765625,0.0,1.22301126,5.98821688,7.71024704,0.01397461,-,12.94117641,0.00328058,0.12466985,0.61041963,0.68595791,14.90196133,7.45098066,-,-,-,-,-,-,13.77858543,224.15359497,-,-,71,-,24.70588303,18.03921509,-,-,697,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,-,4.28800011,433.25976562,0,17.34539223,78.53378296,16,0,-,56,-,0,12.26679993,8.15191555,0,34.65197754,0.78499997,0.76999998,3.13725495,329,0,-,13.33333397,-1.5,-,12.7183857,7.8624692,35.92764282,-,0,0,0,-9.42745399,-,13.82900047,13.89999962,-
Thu Jan 02 18:00:48 GMT+05:30 2020,02-Jan-2020 18:00:48.598,78.53378423,17.34539134,0.0,4.288,433.259765625,0.0,0.93914711,6.32597971,7.41201019,0.01244273,-,12.94117641,0.01057029,0.11307094,0.63093144,0.68082994,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,224.15359497,-,-,71,-,43.92156982,18.03921509,-,-,755.5,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,-,4.28800011,433.25976562,0,17.34539223,78.53378296,22,0,-,56,7.10684919,0,12.2667284,8.15196323,0,34.65177536,0.78499997,0.76999998,3.13725495,329,0,0,13.33333397,-1.5,-,12.7183857,7.8624692,35.92764282,-,0,0,0,-6.67173624,-,13.82900047,13.89999962,-
Thu Jan 02 18:00:49 GMT+05:30 2020,02-Jan-2020 18:00:49.597,78.53378638,17.34539512,0.0,3.216,434.8287353515625,0.0,0.28997242,6.74758387,7.08382893,0.01419898,-,12.94117641,-0.01756528,0.11465816,0.6211639,0.65201581,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,224.15359497,-,-,71,-,43.92156982,18.03921509,-,-,755.5,-,0.15540095,0.00259002,5.27485895,-6.25,-0.78125,-,1.5625,3.21600008,434.82873535,0,17.34539604,78.53378296,23,0,-,56,7.10684919,0,12.2667284,8.15196323,0,34.65177536,0.78499997,0.76999998,3.13725495,329,0,0,15.68627453,-4.5,-,12.7183857,7.8624692,35.92764282,-,0,0,0,-6.67173624,-,13.54599953,13.89999962,-
