GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Fri Mar 27 18:18:54 GMT+05:30 2020,27-Mar-2020 18:18:53.911,78.53966593,17.34099683,0.0,9.648001,428.64727783203125,0.0,10.05753613,-0.72151828,0.7921052,0.05003434,-,13.33333397,0.02434392,1.01766324,-0.07037482,-0.01070877,14.90196133,7.45098066,-,-,-,-,12.59649086,8.59880257,13.77858543,246.88980103,-,-,89,-,24.31372643,18.03921509,-,-,693.5,-,0.16445006,0.00274083,4.28617048,-6.25,0,-,-,9.64800072,428.64727783,0,17.3409977,78.53966522,17,0,-,51,5.94654703,0,12.01452732,8.32308388,0,33.9393425,0.85499996,0.77499998,3.52941179,974,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.57249069,-,13.80500031,13.89999962
Fri Mar 27 18:18:55 GMT+05:30 2020,27-Mar-2020 18:18:54.910,78.539666,17.34099684,0.0,9.648001,428.6435546875,0.0,10.07670021,-0.70834315,0.95140457,0.03164273,-,13.33333397,0.02713249,1.01973867,-0.07477019,-0.00606921,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,246.88980103,-,-,89,-,24.31372643,18.03921509,-,-,693.5,-,0.16445006,0.00274083,4.28617048,-6.25,0,-,-,9.64800072,428.64355469,0,17.3409977,78.53966522,16,0,-,51,5.94654703,0,12.01452732,8.32308388,0,33.9393425,0.85499996,0.77499998,3.52941179,974,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.57249069,-,13.80500031,13.89999962
Fri Mar 27 18:18:56 GMT+05:30 2020,27-Mar-2020 18:18:55.908,78.53966605,17.34099686,0.0,9.648001,428.640625,0.0,9.90063286,-0.32386881,0.54057997,0.03443031,-,13.33333397,0.0293858,1.02291322,-0.06915388,-0.01180762,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,246.88980103,-,-,89,-,24.31372643,18.03921509,-,-,693.5,-,0.16445006,0.00274083,4.28617048,-6.25,0,-,-,9.64800072,428.640625,0,17.3409977,78.53966522,15,0,-,51,5.94654703,0,12.01452732,8.32308388,0,33.9393425,0.85499996,0.77499998,3.52941179,974,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.57249069,-,13.80500031,13.89999962
Fri Mar 27 18:18:57 GMT+05:30 2020,27-Mar-2020 18:18:56.908,78.53966611,17.34099688,0.0,9.648001,428.6357421875,0.0,9.6431179,-0.41489699,1.03404856,0.0305452,-,13.33333397,-0.01537544,0.97725016,-0.05682242,0.00284363,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,246.88980103,-,-,89,-,24.31372643,18.03921509,-,-,693.5,-,0.16445006,0.00274083,4.28617048,-6.25,0,-,-,9.64800072,428.63574219,0,17.3409977,78.53966522,16,0,-,51,5.94654703,0,12.01452732,8.32308388,0,33.9393425,0.85499996,0.77499998,3.52941179,974,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.57249069,-,13.80500031,13.89999962
Fri Mar 27 18:18:58 GMT+05:30 2020,27-Mar-2020 18:18:57.907,78.53966617,17.34099689,0.0,9.648001,428.63134765625,0.0,9.82517433,-0.64486295,0.92265874,0.0310985,-,13.33333397,0.02209776,1.0140003,-0.05511311,0.01285532,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,246.88980103,-,-,89,-,24.31372643,18.03921509,-,-,693.5,-,0.16445006,0.00274083,4.28617048,-6.25,0,-,-,9.64800072,428.63134766,0,17.3409977,78.53966522,16,0,-,51,4.49617004,0,12.01446342,8.32312775,0,33.93916321,0.85499996,0.77499998,3.52941179,974,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.28241539,-,13.80500031,13.89999962
Fri Mar 27 18:18:59 GMT+05:30 2020,27-Mar-2020 18:18:58.908,78.53966621,17.34099689,0.0,9.648001,428.62823486328125,0.0,9.98327637,-0.65444481,0.95260227,0.03430783,-,13.33333397,0.02911586,1.0205934,-0.06439222,0.01224484,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,246.88980103,-,-,89,-,25.09803963,18.03921509,-,-,783,-,0.16445006,0.00274083,4.28617048,-6.25,0,-,-0.78125,9.64800072,428.62823486,0,17.3409977,78.53966522,16,0,-,51,4.49617004,0,12.01446342,8.32312775,0,33.93916321,0.85499996,0.77499998,3.52941179,974,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.28241539,-,13.80500031,13.89999962
Fri Mar 27 18:19:00 GMT+05:30 2020,27-Mar-2020 18:18:59.911,78.53966629,17.3409969,0.0,9.648001,428.622802734375,0.0,9.75091457,-0.48676136,1.05800343,0.02981297,-,13.33333397,0.04116833,1.03292489,-0.07171785,0.00589598,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,246.88980103,-,-,89,-,25.09803963,18.03921509,-,-,783,-,0.16445006,0.00274083,4.28617048,-6.25,-0.78125,-,-0.78125,9.64800072,428.62280273,0,17.3409977,78.53966522,17,0,-,51,4.49617004,0,12.01446342,8.32312775,0,33.93916321,0.83499998,0.76499999,3.52941179,974,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.28241539,-,13.85299969,13.89999962
Fri Mar 27 18:19:01 GMT+05:30 2020,27-Mar-2020 18:19:00.913,78.53966636,17.34099688,0.0,9.648001,428.6212158203125,0.0,9.66587543,-0.4053151,0.89630848,0.03064434,-,13.33333397,-0.00942442,0.98408747,-0.04485724,0.00064594,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,246.88980103,-,-,89,-,25.09803963,18.03921509,-,-,783,-,0.16445006,0.00274083,4.28617048,-6.25,-0.78125,-,-0.78125,9.64800072,428.62121582,0,17.3409977,78.53966522,17,0,-,51,4.49617004,0,12.01446342,8.32312775,0,33.93916321,0.83499998,0.76499999,3.52941179,974,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.28241539,-,13.85299969,13.89999962
Fri Mar 27 18:19:02 GMT+05:30 2020,27-Mar-2020 18:19:01.908,78.53966642,17.34099685,0.0,9.648001,428.6173095703125,0.0,9.57364941,-0.44364274,0.72742724,0.03000833,-,13.72549057,0.02996406,1.02352369,-0.06793295,-0.01119715,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,246.88980103,-,-,89,-,25.09803963,18.03921509,-,-,783,-,0.16445006,0.00274083,4.28617048,-6.25,-0.78125,-,-0.78125,9.64800072,428.61730957,0,17.3409977,78.53966522,17,0,-,51,4.49617004,0,12.01446342,8.32312775,0,33.93916321,0.83499998,0.76499999,3.52941179,974,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.28241539,-,13.85299969,13.89999962
Fri Mar 27 18:19:03 GMT+05:30 2020,27-Mar-2020 18:19:02.908,78.53966644,17.34099681,0.0,9.648001,428.612060546875,0.0,10.12700462,-0.69636571,1.06998062,0.05948466,-,13.72549057,0.05013366,1.04220402,-0.07440392,0.0015006,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,246.88980103,-,-,89,-,25.09803963,18.43137169,-,-,783,-,0.16445006,0.00274083,4.28617048,-6.25,-0.78125,-,-0.78125,9.64800072,428.61206055,0,17.3409977,78.53966522,17,0,-,51,4.49617004,0,12.01446342,8.32312775,0,33.93916321,0.83499998,0.76499999,3.52941179,994,0,0,13.72549057,-3,-,9.57727432,10.44116783,27.05444527,-,0,0,0,-9.28241539,-,13.85299969,13.89999962
