GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Fri Mar 27 18:16:09 GMT+05:30 2020,27-Mar-2020 18:16:09.502,78.53696304,17.34107407,0.0,9.648001,424.00390625,0.0,9.44668961,-0.1921175,0.7909075,0.03091802,-,13.72549057,0.02241142,1.0140003,-0.05108402,0.01749486,14.90196133,7.45098066,-,-,-,-,11.9826088,8.30120468,13.77858543,249.67883301,-,-,90,-,27.05882454,19.6078434,-,-,770.5,-,0.17176923,0.00286282,4.42688894,-6.25,-2.34375,-,-,9.64800072,424.00390625,0,17.34107399,78.53696442,20,0,-,48,4.35113192,0,12.04269123,8.30361938,0,34.01890182,0.13499999,0.755,3.52941179,794,0,0,13.72549057,-4.5,-,7.61507082,13.13158131,21.5114994,-,0,0,0,-7.68700027,-,13.85299969,14
Fri Mar 27 18:16:10 GMT+05:30 2020,27-Mar-2020 18:16:10.487,78.53696401,17.34107346,0.0,9.648001,423.84637451171875,0.0,10.25755882,-0.63049006,0.95379996,0.03182365,-,13.72549057,0.01460284,1.0065527,-0.0552352,0.01187856,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,249.67883301,-,-,90,-,36.47058868,19.6078434,-,-,770.5,-,0.17176923,0.00286282,4.42688894,-6.25,-2.34375,-,0.78125,9.64800072,423.84637451,0,17.34107399,78.53696442,20,0,-,48,4.35113192,0,12.04269123,8.30361938,0,34.01890182,0.13499999,0.755,3.52941179,794,0,0,13.72549057,0.5,-,7.61507082,13.13158131,21.5114994,-,0,0,0,-7.68700027,-,13.85299969,14
Fri Mar 27 18:16:11 GMT+05:30 2020,27-Mar-2020 18:16:11.488,78.53696672,17.34107469,0.0,9.648001,423.89556884765625,0.0,9.61557102,-0.1981062,1.44127989,0.02803693,-,13.72549057,-0.00634528,0.98482007,-0.03130484,0.02579725,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,249.67883301,-,-,90,-,36.47058868,19.6078434,-,-,770.5,-,0.17176923,0.00286282,4.42688894,-6.25,-0.78125,-,0.78125,9.64800072,423.89556885,0,17.34107399,78.53696442,19,0,-,48,4.35113192,0,12.04269123,8.30361938,0,34.01890182,0.75,0.745,3.52941179,794,0,0,15.68627453,0.5,-,7.61507082,13.13158131,21.5114994,-,0,0,0,-7.68700027,-,13.75800037,14
Fri Mar 27 18:16:12 GMT+05:30 2020,27-Mar-2020 18:16:12.489,78.53696536,17.34107477,0.0,9.648001,423.897216796875,0.0,9.35925388,-0.15977854,1.28437614,-0.01786834,-,15.29411793,0.00818099,0.99898285,-0.03460136,0.02872749,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,249.67883301,-,-,88,-,36.47058868,19.6078434,-,-,810,-,0.17176923,0.00286282,4.42688894,-6.25,-0.78125,-,2.34375,9.64800072,423.8972168,0,17.34107399,78.53696442,19,0,-,49,5.94654703,0,12.04262638,8.30366325,0,34.01871872,0.75,0.745,5.09803915,794,0,0,15.68627453,0.5,-,7.61507082,13.13158131,21.5114994,-,0,0,0,-7.8320384,-,13.75800037,13.89999962
Fri Mar 27 18:16:13 GMT+05:30 2020,27-Mar-2020 18:16:13.497,78.53696488,17.34107511,0.0,9.648001,423.859619140625,0.0,9.78804493,-0.39932638,1.26042128,0.03057248,-,15.29411793,0.01736723,1.01009333,-0.05389217,0.00552969,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,249.67883301,-,-,88,-,36.47058868,19.6078434,-,-,810,-,0.17176923,0.00286282,4.42688894,-6.25,3.125,-,2.34375,9.64800072,423.85961914,0,17.3410759,78.53696442,19,0,-,49,5.94654703,0,12.04262638,8.30366325,0,34.01871872,0.11499999,0.745,5.09803915,794,0,0,15.29411793,-1.5,-,7.61507082,13.13158131,21.5114994,-,0,0,0,-7.8320384,-,13.71100044,13.89999962
Fri Mar 27 18:16:14 GMT+05:30 2020,27-Mar-2020 18:16:14.489,78.5369649,17.34107256,0.0,9.648001,424.178466796875,0.0,9.87068939,-0.49155229,1.10351741,0.03089247,-,15.29411793,0.00027429,0.98945951,-0.02947343,0.04130314,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,249.67883301,-,-,88,-,36.47058868,19.6078434,-,-,810,-,0.17176923,0.00286282,4.42688894,-6.25,3.125,-,2.34375,9.64800072,424.1784668,0,17.34107208,78.53696442,19,0,-,49,5.94654703,0,12.04262638,8.30366325,0,34.01871872,0.11499999,0.745,5.09803915,794,0,0,15.29411793,-1.5,-,7.61507082,13.13158131,21.5114994,-,0,0,0,-7.8320384,-,13.71100044,13.89999962
Fri Mar 27 18:16:15 GMT+05:30 2020,27-Mar-2020 18:16:15.488,78.53696608,17.34107283,0.0,9.648001,423.9903564453125,0.0,9.90542412,-0.42926985,1.16100883,0.02812173,-,11.76470566,0.02608317,1.01729691,-0.04656655,0.02274491,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,249.67883301,-,-,88,-,36.47058868,18.8235302,-,-,810,-,0.17176923,0.00286282,4.42688894,-6.25,3.125,-,2.34375,9.64800072,423.99035645,0,17.34107208,78.53696442,19,0,-,49,5.94654703,0,12.04262638,8.30366325,0,34.01871872,0.11499999,0.745,5.09803915,794,0,0,15.29411793,-1.5,-,7.61507082,13.13158131,21.5114994,-,0,0,0,-7.8320384,-,13.71100044,13.89999962
Fri Mar 27 18:16:16 GMT+05:30 2020,27-Mar-2020 18:16:16.498,78.53696619,17.34107275,0.0,9.648001,423.7777099609375,0.0,9.90183067,-0.40890831,1.11789036,0.02808572,-,11.76470566,0.03074671,1.02327943,-0.05694451,0.00662854,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,249.67883301,-,-,88,-,36.47058868,18.8235302,-,-,810,-,0.17176923,0.00286282,4.42688894,-6.25,3.125,-,2.34375,9.64800072,423.77770996,0,17.34107208,78.53696442,19,0,-,49,5.94654703,0,12.04262638,8.30366325,0,34.01871872,0.11499999,0.745,5.09803915,827,0,0,15.29411793,-1.5,-,7.61507082,13.13158131,21.5114994,-,0,0,0,-7.8320384,-,13.71100044,13.89999962
Fri Mar 27 18:16:17 GMT+05:30 2020,27-Mar-2020 18:16:17.488,78.53696644,17.34107286,0.0,9.648001,423.8670654296875,0.0,9.72696114,-0.51910031,0.84839892,0.01570529,-,11.76470566,0.02566244,1.01741898,-0.05450264,0.01468672,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,249.67883301,-,-,88,-,36.47058868,18.8235302,-,-,810,-,0.17176923,0.00286282,4.42688894,-6.25,3.125,-,2.34375,9.64800072,423.86706543,0,17.34107208,78.53696442,19,0,-,49,5.94654703,0,12.04262638,8.30366325,0,34.01871872,0.11499999,0.745,5.09803915,827,0,0,15.29411793,-1.5,-,7.61507082,13.13158131,21.5114994,-,0,0,0,-7.8320384,-,13.71100044,13.89999962
Fri Mar 27 18:16:18 GMT+05:30 2020,27-Mar-2020 18:16:18.488,78.53697015,17.34107304,0.23,9.648001,423.8255615234375,98.8,9.73414707,-0.82572156,2.72405863,0.03775771,-,11.76470566,0.03386549,0.99287814,-0.0746481,0.17707136,14.90196133,7.45098066,-,-,-,-,1,0.08333334,13.77858543,249.67883301,-,-,87,-,23.13725471,18.8235302,-,-,818.5,-,0.17176923,0.00286282,4.42688894,-6.25,3.125,-,0.78125,9.64800072,423.82556152,98.80000305,17.34107399,78.53697205,19,0.17199999,-,49,4.20609426,0,12.04256248,8.30370808,0,34.01853943,0.11499999,0.745,5.09803915,827,0.82800001,1,15.29411793,-1.5,-,7.61507082,13.13158131,21.5114994,-,0,0.56999999,0,-9.57249069,-,13.71100044,13.89999962
Fri Mar 27 18:16:19 GMT+05:30 2020,27-Mar-2020 18:16:19.489,78.53697965,17.34107338,0.36,9.648001,426.807861328125,98.6,9.69941235,-0.61372173,1.07237613,0.0290637,-,11.76470566,-0.01930136,0.97200018,-0.05108402,0.01712858,14.90196133,7.45098066,-,-,-,-,1,0.08333334,13.77858543,249.67883301,-,-,87,-,23.13725471,18.8235302,-,-,818.5,-,0.17176923,0.00286282,4.42688894,-6.25,0.78125,-,0.78125,9.64800072,426.80786133,98.59999847,17.34107399,78.53697968,20,0.17199999,-,49,4.20609426,0,12.04256248,8.30370808,0,34.01853943,0.83499998,0.74000001,5.09803915,827,1.296,1,13.33333397,-1.5,-,7.61507082,13.13158131,21.5114994,-,1,1.204,0,-9.57249069,-,13.80500031,13.89999962
Fri Mar 27 18:16:20 GMT+05:30 2020,27-Mar-2020 18:16:20.493,78.53699506,17.34107398,0.0,9.648001,428.870361328125,0.0,9.8635025,-0.5789873,1.38259065,0.03123666,-,13.33333397,0.03223828,1.02266908,-0.07122948,0.01773906,14.90196133,7.45098066,-,-,-,-,1,0.08333334,13.77858543,249.67883301,-,-,87,-,23.13725471,18.8235302,-,-,818.5,-,0.17176923,0.00286282,4.42688894,-6.25,0.78125,-,0.78125,9.64800072,428.87036133,0,17.34107399,78.53699493,20,0.17199999,-,49,4.20609426,0,12.04256248,8.30370808,0,34.01853943,0.83499998,0.74000001,3.13725495,827,0,1,13.33333397,-1.5,-,7.61507082,13.13158131,21.5114994,-,2,2.602,0,-9.57249069,-,13.80500031,13.80000019
Fri Mar 27 18:16:21 GMT+05:30 2020,27-Mar-2020 18:16:21.488,78.53700512,17.34107439,0.0,9.648001,430.6226806640625,0.0,9.84194374,-0.57060313,1.32749462,0.03561348,-,13.33333397,0.03243461,1.02205861,-0.06085151,0.02994843,14.90196133,7.45098066,-,-,-,-,1,0.08333334,13.77858543,249.67883301,-,-,87,-,23.13725471,18.03921509,-,-,818.5,-,0.17176923,0.00286282,4.42688894,-6.25,0.78125,-,0.78125,9.64800072,430.62268066,0,17.34107399,78.53700256,21,0.17199999,-,49,4.20609426,0,12.04256248,8.30370808,0,34.01853943,0.83499998,0.74000001,3.13725495,833,0,1,13.33333397,-1.5,-,7.61507082,13.13158131,21.5114994,-,3,3.18300009,0,-9.57249069,-,13.80500031,13.80000019
