GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Jan 02 16:23:30 GMT+05:30 2020,23:29.7,78.5356475,17.34107866,0,5.36,435.0840454,0,7.50395584,-0.16097626,2.07488394,0.0458665,-,13.33333397,0.09013975,0.84746462,-0.08380512,0.57998055,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,35.68627548,19.2156868,-,-,814.5,0.01709178,0.17117171,0.00285286,7.8000989,-7.8125,2.34375,-,1.5625,5.36000013,435.0840454,0,17.3410778,78.53564453,20,0,-,30,5.94654703,0,12.408535,8.05880165,0,35.05235672,0.055,0.72999996,3.13725495,209,0,0,14.90196133,1.5,-,-,-,-,-,0,0,0,-7.8320384,-,14.1590004,14.19999981,-
Thu Jan 02 16:23:31 GMT+05:30 2020,23:30.7,78.53564849,17.34109062,0.24,5.36,434.3398438,340.7,10.03956985,-0.55383474,1.6628617,0.0646733,-,14.90196133,-0.14765748,0.84783083,-0.03911884,-0.02487164,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,35.68627548,19.2156868,-,-,814.5,0.01709178,0.17117171,0.00285286,7.8000989,-7.8125,2.34375,-,1.5625,5.36000013,434.3398438,340.7000122,17.34109116,78.53565216,21,0,-,30,5.94654703,0,12.408535,8.05880165,0,35.05235672,0.055,0.72999996,4.70588255,209,0.86399996,0,14.90196133,1.5,-,-,-,-,-,0,0,0,-7.8320384,-,14.1590004,14.19999981,-
Thu Jan 02 16:23:32 GMT+05:30 2020,23:31.7,78.53567113,17.34111274,0.64,5.36,432.5106201,27.2,9.470644,-0.99220729,1.79820609,0.04647033,-,14.90196133,-0.00144151,0.98323286,-0.12031114,0.02335536,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,35.68627548,26.66666603,-,-,814.5,0.01709178,0.17117171,0.00285286,7.8000989,-7.8125,2.34375,-,1.5625,5.36000013,432.5106201,27.20000076,17.34111214,78.53566742,20,0,-,30,5.94654703,0,12.408535,8.05880165,0,35.05235672,0.055,0.72999996,4.70588255,215,2.3039999,0,14.90196133,1.5,-,-,-,-,-,0,0,0,-7.8320384,-,14.1590004,14.19999981,-
Thu Jan 02 16:23:33 GMT+05:30 2020,23:32.7,78.53565667,17.34110759,0.21,5.36,432.1199951,296.8,9.88146877,-0.43525857,-0.50983739,0.02749867,-,14.90196133,0.0200046,1.01644218,-0.07721207,-0.12413382,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,35.68627548,26.66666603,-,-,814.5,0.01709178,0.17117171,0.00285286,7.8000989,-7.8125,2.34375,-,1.5625,5.36000013,432.1199951,296.7999878,17.34110832,78.53565979,20,0,-,30,5.94654703,0,12.408535,8.05880165,0,35.05235672,0.055,0.72999996,4.70588255,215,0.75599998,0,14.90196133,1.5,-,-,-,-,-,0,0,0,-7.8320384,-,14.1590004,14.19999981,-
Thu Jan 02 16:23:34 GMT+05:30 2020,23:33.7,78.53568604,17.34109422,0.22,5.36,432.7733154,139.2,9.99884605,-0.78380066,-0.18884325,0.02924507,-,14.90196133,-0.04880147,0.94892448,-0.02520015,-0.1553898,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,21.56862831,26.66666603,-,-,827,0.01709178,0.17117171,0.00285286,7.8000989,-7.8125,2.34375,-,1.5625,5.36000013,432.7733154,139.199997,17.34109497,78.53568268,20,0.792,-,30,3.91601896,181.2480011,12.40875435,8.0586586,512,35.05297852,0.055,0.72999996,4.70588255,215,0.792,0,14.90196133,1.5,-,13.64938831,7.32618332,38.5575943,-,0,0,0,-9.86256599,-,14.1590004,14.19999981,-
Thu Jan 02 16:23:35 GMT+05:30 2020,23:34.7,78.53568881,17.34109181,0,5.36,432.1212158,0,9.80720901,-0.88201535,-0.17926133,0.02872651,-,14.90196133,0.00425963,0.99971545,-0.08990981,-0.11827333,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,21.56862831,26.66666603,-,-,827,0.01709178,0.17117171,0.00285286,7.8000989,-7.8125,2.34375,-,2.34375,5.36000013,432.1212158,0,17.34109116,78.53569031,21,0.792,-,30,3.91601896,181.2480011,12.40875435,8.0586586,512,35.05297852,0.89499998,0.70499998,4.70588255,215,0,0,13.33333397,6,-,13.64938831,7.32618332,38.5575943,-,0,0,0,-9.86256599,-,14.1590004,14.19999981,-
Thu Jan 02 16:23:36 GMT+05:30 2020,23:35.7,78.53568812,17.34109069,0,5.36,430.9671631,0,9.86230469,-0.89519042,-0.32059455,0.02186977,-,14.90196133,-0.00821123,0.98811662,-0.08014232,-0.11326749,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,21.56862831,26.66666603,-,-,827,0.01709178,0.17117171,0.00285286,7.8000989,-8.59375,2.34375,-,2.34375,5.36000013,430.9671631,0,17.34109116,78.53569031,21,0.792,-,30,3.91601896,181.2480011,12.40875435,8.0586586,512,35.05297852,0.89499998,0.70499998,4.70588255,215,0,0,13.33333397,6,-,13.64938831,7.32618332,38.5575943,-,0,0,0,-9.86256599,-,14.1590004,14.10000038,-
Thu Jan 02 16:23:37 GMT+05:30 2020,23:36.7,78.53568881,17.34108651,0,5.36,431.1844482,0,9.34488106,-0.08192548,0.15011698,0.01142478,-,12.94117641,-0.00222603,0.99654102,-0.03228159,-0.07285446,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,21.56862831,16.86274529,-,-,827,0.01709178,0.17117171,0.00285286,7.8000989,-8.59375,2.34375,-,2.34375,5.36000013,431.1844482,0,17.34108734,78.53569031,21,0.792,-,30,3.91601896,181.2480011,12.40875435,8.0586586,512,35.05297852,0.89499998,0.70499998,3.13725495,220,0,0,13.33333397,6,-,13.64938831,7.32618332,38.5575943,-,0,0,0,-9.86256599,-,14.1590004,14.10000038,-
Thu Jan 02 16:23:38 GMT+05:30 2020,23:37.7,78.53568976,17.34107754,0,4.288,431.5690918,0,9.9126091,-0.77541649,0.36331457,0.030333,-,12.94117641,0.0139352,1.00899458,-0.08539234,-0.05527297,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,21.56862831,16.86274529,-,-,827,0.01709178,0.17117171,0.00285286,7.8000989,-8.59375,2.34375,-,2.34375,4.28800011,431.5690918,0,17.3410778,78.53569031,21,0.792,-,30,3.91601896,181.2480011,12.40875435,8.0586586,512,35.05297852,0.89499998,0.70499998,3.13725495,220,0,0,13.33333397,6,-,13.64938831,7.32618332,38.5575943,-,0,0,0,-9.86256599,-,14.1590004,14.10000038,-
Thu Jan 02 16:23:39 GMT+05:30 2020,23:38.7,78.53569221,17.34107888,0.36,5.36,431.7997437,42.3,9.88266563,-0.82691926,1.69160724,0.03483424,-,12.94117641,0.02587919,1.00740731,-0.0842935,0.07243703,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,-,-,-,57,-,21.56862831,16.86274529,-,-,827,0.01709178,0.17117171,0.00285286,7.8000989,-8.59375,2.34375,-,2.34375,5.36000013,431.7997437,42.29999924,17.34107971,78.53569031,22,0.792,-,30,3.91601896,181.2480011,12.40875435,8.0586586,512,35.05297852,0.89499998,0.70499998,3.13725495,220,1.296,0,13.33333397,6,-,13.64938831,7.32618332,38.5575943,-,0,0,0,-9.86256599,-,14.1590004,14.10000038,-
