GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Fri Mar 27 18:09:17 GMT+05:30 2020,27-Mar-2020 18:09:17.224,78.53972055,17.34097236,0.0,3.216,430.13287353515625,0.0,9.93536758,-0.66043353,0.87115598,0.03169354,-,15.29411793,0.01923996,1.01277947,-0.06732248,-0.01119715,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,36.07843018,19.6078434,-,-,747.5,-,0.23707317,0.00395122,4.78064728,-6.25,-2.34375,-,-2.34375,3.21600008,430.13287354,0,17.3409729,78.53971863,17,0,-,40,5.94654703,0,12.12869072,8.24474144,0,34.26183701,0.095,0.76499999,5.09803915,404,0,0,15.29411793,6,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.8320384,-,13.73499966,13.89999962
Fri Mar 27 18:09:18 GMT+05:30 2020,27-Mar-2020 18:09:18.224,78.53972053,17.3409724,0.0,3.216,430.13397216796875,0.0,9.88146782,-0.50951838,0.60525787,0.03113305,-,15.29411793,0.01440639,1.00887251,-0.06561317,-0.02133092,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,36.07843018,27.84313774,-,-,747.5,-,0.23707317,0.00395122,4.78064728,-6.25,-2.34375,-,-2.34375,3.21600008,430.13397217,0,17.3409729,78.53971863,17,0,-,40,5.94654703,0,12.12869072,8.24474144,0,34.26183701,0.095,0.76499999,5.09803915,409,0,0,15.29411793,6,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.8320384,-,13.73499966,13.89999962
Fri Mar 27 18:09:19 GMT+05:30 2020,27-Mar-2020 18:09:19.224,78.5397205,17.34097243,0.0,3.216,430.126220703125,0.0,9.63593197,-0.52508903,1.08315587,0.02852212,-,15.29411793,0.02638837,1.01986086,-0.0726946,-0.01424949,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,36.07843018,27.84313774,-,-,747.5,-,0.23707317,0.00395122,4.78064728,-6.25,-2.34375,-,-2.34375,3.21600008,430.1262207,0,17.3409729,78.53971863,17,0,-,40,5.94654703,0,12.12869072,8.24474144,0,34.26183701,0.095,0.76499999,5.09803915,409,0,0,15.29411793,6,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.8320384,-,13.73499966,13.89999962
Fri Mar 27 18:09:20 GMT+05:30 2020,27-Mar-2020 18:09:20.224,78.53972043,17.34097251,0.0,3.216,430.1219482421875,0.0,9.69222641,-0.91435421,1.5802176,0.03132898,-,15.29411793,0.01612381,1.00960505,-0.05987476,-0.00558084,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,36.07843018,27.84313774,-,-,751,-,0.23707317,0.00395122,4.78064728,-6.25,-2.34375,-,-2.34375,3.21600008,430.12194824,0,17.3409729,78.53971863,17,0,-,40,6.23662281,0,12.12862301,8.24478722,0,34.26164627,0.095,0.76499999,5.09803915,409,0,0,15.29411793,6,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.54196262,-,13.73499966,13.89999962
Fri Mar 27 18:09:21 GMT+05:30 2020,27-Mar-2020 18:09:21.223,78.53972036,17.34097258,0.0,3.216,430.1221923828125,0.0,9.73175144,-0.58737147,0.94421804,0.03103642,-,15.29411793,0.03314514,1.02559924,-0.07538066,-0.004482,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,38.03921509,27.84313774,-,-,751,-,0.23707317,0.00395122,4.78064728,-6.25,-0.78125,-,-0.78125,3.21600008,430.12219238,0,17.3409729,78.53971863,17,0,-,41,6.23662281,0,12.12862301,8.24478722,0,34.26164627,0.22499999,0.75999999,5.09803915,409,0,0,15.29411793,0.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.54196262,-,13.71100044,13.89999962
Fri Mar 27 18:09:22 GMT+05:30 2020,27-Mar-2020 18:09:22.222,78.53972033,17.3409726,0.0,3.216,430.123046875,0.0,9.71258736,-0.50233197,0.75138211,0.0310923,-,15.29411793,-0.00427769,0.99043632,-0.0612178,-0.02206349,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,38.03921509,27.84313774,-,-,751,-,0.23707317,0.00395122,4.78064728,-6.25,-0.78125,-,-0.78125,3.21600008,430.12304688,0,17.3409729,78.53971863,18,0,-,41,6.23662281,0,12.12862301,8.24478722,0,34.26164627,0.22499999,0.75999999,5.09803915,409,0,0,15.29411793,0.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.54196262,-,13.71100044,13.89999962
Fri Mar 27 18:09:23 GMT+05:30 2020,27-Mar-2020 18:09:23.226,78.53972032,17.34097262,0.0,3.216,430.1298828125,0.0,9.87428284,-0.63528109,0.99811631,0.03051502,-,15.29411793,0.02381391,1.01729691,-0.06561317,-0.00899946,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,38.03921509,27.84313774,-,-,751,-,0.23707317,0.00395122,4.78064728,-6.25,-0.78125,-,-0.78125,3.21600008,430.12988281,0,17.3409729,78.53971863,18,0,-,41,6.23662281,0,12.12862301,8.24478722,0,34.26164627,0.22499999,0.75999999,5.09803915,409,0,0,15.29411793,0.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.54196262,-,13.71100044,13.89999962
Fri Mar 27 18:09:24 GMT+05:30 2020,27-Mar-2020 18:09:24.233,78.53972025,17.34097268,0.0,3.216,430.1251220703125,0.0,9.71498299,-0.59934878,0.71305442,0.03028884,-,15.29411793,0.01825172,1.01302361,-0.06842133,-0.0276798,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,38.03921509,27.84313774,-,-,751,-,0.23707317,0.00395122,4.78064728,-6.25,-0.78125,-,-0.78125,3.21600008,430.12512207,0,17.3409729,78.53971863,17,0,-,41,6.23662281,0,12.12862301,8.24478722,0,34.26164627,0.22499999,0.75999999,5.09803915,415,0,0,15.29411793,0.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.54196262,-,13.71100044,13.89999962
Fri Mar 27 18:09:25 GMT+05:30 2020,27-Mar-2020 18:09:25.230,78.53972019,17.34097274,0.0,3.216,430.12249755859375,0.0,9.93057632,-0.65324712,0.81366444,0.03197405,-,15.29411793,0.01920627,1.01241326,-0.06585735,-0.0064355,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,38.03921509,27.84313774,-,-,751,-,0.23707317,0.00395122,4.78064728,-6.25,-0.78125,-,-0.78125,3.21600008,430.12249756,0,17.3409729,78.53971863,16,0,-,41,6.23662281,0,12.12862301,8.24478722,0,34.26164627,0.22499999,0.75999999,5.09803915,415,0,0,15.29411793,0.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.54196262,-,13.71100044,13.89999962
Fri Mar 27 18:09:26 GMT+05:30 2020,27-Mar-2020 18:09:26.226,78.53972011,17.34097283,0.0,3.216,430.119873046875,0.0,10.09945679,-0.65684032,0.69149512,0.05308646,-,15.29411793,0.00503905,1.00020385,-0.04986308,-0.01925533,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,38.82352829,27.84313774,-,-,744,-,0.23707317,0.00395122,4.78064728,-6.25,0.78125,-,0,3.21600008,430.11987305,0,17.3409729,78.53971863,16,0,-,41,6.23662281,0,12.12855625,8.24483299,0,34.26145935,0.08,0.75999999,5.09803915,415,0,0,15.29411793,-1.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.54196262,-,13.80500031,13.89999962
