GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Fri Mar 27 18:12:55 GMT+05:30 2020,27-Mar-2020 18:12:55.504,78.53703159,17.3411324,0.0,9.648001,438.3125,0.0,9.94255257,-0.72151828,1.12268126,0.03291646,-,15.29411793,-0.00807088,0.9820118,-0.0609736,0.02323326,14.90196133,7.45098066,-,-,-,-,10.73529434,6.21276617,13.77858543,252.82759094,-,-,90,-,38.03921509,27.84313774,-,-,708.5,-,0.24389505,0.00406492,4.59799623,-6.25,0.78125,-,-,9.64800072,438.3125,0,17.34113312,78.53703308,19,0,-,45,6.09158516,0,12.07872105,8.2788496,0,34.12068176,0.83999997,0.79999995,5.09803915,601,0,0,15.29411793,-2.5,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.68700027,-,13.66399956,13.60000038
Fri Mar 27 18:12:56 GMT+05:30 2020,27-Mar-2020 18:12:56.501,78.53703168,17.3411324,0.0,9.648001,438.318359375,0.0,9.80960464,-0.66881776,1.25922346,0.03077008,-,15.29411793,-0.0029364,0.98689556,-0.06256083,0.02482048,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,252.82759094,-,-,90,-,38.03921509,27.84313774,-,-,708.5,-,0.24389505,0.00406492,4.59799623,-6.25,-1.5625,-,-,9.64800072,438.31835938,0,17.34113312,78.53703308,19,0,-,45,6.09158516,0,12.07872105,8.2788496,0,34.12068176,0.375,0.76999998,5.09803915,601,0,0,15.29411793,6,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.68700027,-,13.26399994,13.60000038
Fri Mar 27 18:12:57 GMT+05:30 2020,27-Mar-2020 18:12:57.501,78.53703178,17.34113241,0.0,9.648001,438.32513427734375,0.0,10.03238392,-0.62450135,0.85438764,0.03354265,-,15.29411793,0.02827703,1.01497722,-0.09430519,0.03251239,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,252.82759094,-,-,90,-,38.03921509,27.84313774,-,-,708.5,-,0.24389505,0.00406492,4.59799623,-6.25,-1.5625,-,-,9.64800072,438.32513428,0,17.34113312,78.53703308,19,0,-,45,6.09158516,0,12.07872105,8.2788496,0,34.12068176,0.375,0.76999998,5.09803915,601,0,0,15.29411793,6,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.68700027,-,13.26399994,13.89999962
Fri Mar 27 18:12:58 GMT+05:30 2020,27-Mar-2020 18:12:58.542,78.53703185,17.34113241,0.0,9.648001,438.33447265625,0.0,9.75690365,-0.62809455,1.39337039,0.03186979,-,15.29411793,0.00320984,0.99397707,-0.05853174,0.01969255,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,252.82759094,-,-,90,-,38.03921509,27.84313774,-,-,708.5,-,0.24389505,0.00406492,4.59799623,-6.25,-1.5625,-,-,9.64800072,438.33447266,0,17.34113312,78.53703308,19,0,-,45,6.09158516,0,12.07872105,8.2788496,0,34.12068176,0.375,0.76999998,5.09803915,601,0,0,15.29411793,6,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.68700027,-,13.26399994,13.89999962
Fri Mar 27 18:12:59 GMT+05:30 2020,27-Mar-2020 18:12:59.501,78.53703192,17.34113241,0.0,9.648001,438.32940673828125,0.0,9.81080246,-0.69157481,1.13825178,0.03186686,-,15.29411793,0.02112927,1.00826192,-0.06622364,0.04496596,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,252.82759094,-,-,90,-,38.03921509,27.45098114,-,-,708.5,-,0.24389505,0.00406492,4.59799623,-6.25,-1.5625,-,-,9.64800072,438.32940674,0,17.34113312,78.53703308,18,0,-,45,6.09158516,0,12.07872105,8.2788496,0,34.12068176,0.375,0.76999998,5.09803915,630,0,0,15.29411793,6,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.68700027,-,13.26399994,13.89999962
Fri Mar 27 18:13:00 GMT+05:30 2020,27-Mar-2020 18:13:00.501,78.53703201,17.3411324,0.0,9.648001,438.329345703125,0.0,9.89105034,-0.73948431,1.19694114,0.0308057,-,15.29411793,0.0101128,1.00118053,-0.06793295,0.01248903,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,252.82759094,-,-,90,-,38.03921509,27.45098114,-,-,708.5,-,0.24389505,0.00406492,4.59799623,-6.25,-1.5625,-,-,9.64800072,438.3293457,0,17.34113312,78.53703308,18,0,-,45,6.09158516,0,12.07872105,8.2788496,0,34.12068176,0.375,0.76999998,5.09803915,630,0,0,15.29411793,6,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.68700027,-,13.26399994,13.89999962
Fri Mar 27 18:13:01 GMT+05:30 2020,27-Mar-2020 18:13:01.503,78.53703207,17.3411324,0.0,9.648001,438.3282470703125,0.0,9.9653101,-0.61132622,0.91667008,0.03083891,-,15.29411793,0.01759764,1.00887251,-0.07623532,0.00565178,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,252.82759094,-,-,89,-,38.03921509,27.45098114,-,-,754,-,0.24389505,0.00406492,4.59799623,-6.25,-1.5625,-,-,9.64800072,438.32824707,0,17.34113312,78.53703308,18,0,-,45,6.23662281,0,12.07865524,8.27889538,0,34.12049484,0.375,0.76999998,5.09803915,630,0,0,15.29411793,6,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.54196262,-,13.26399994,13.89999962
Fri Mar 27 18:13:02 GMT+05:30 2020,27-Mar-2020 18:13:02.502,78.53703216,17.34113238,0.0,9.648001,438.330810546875,0.0,9.92578506,-0.71433187,1.1861614,0.03270524,-,15.29411793,0.03072575,1.0205934,-0.07354926,0.02103558,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,252.82759094,-,-,89,-,38.03921509,27.45098114,-,-,754,-,0.24389505,0.00406492,4.59799623,-6.25,2.34375,-,1.5625,9.64800072,438.33081055,0,17.34113312,78.53703308,18,0,-,45,6.23662281,0,12.07865524,8.27889538,0,34.12049484,0.095,0.76499999,5.09803915,630,0,0,15.29411793,-2.5,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.54196262,-,13.68799973,13.89999962
Fri Mar 27 18:13:03 GMT+05:30 2020,27-Mar-2020 18:13:03.502,78.53703222,17.34113236,0.0,9.648001,438.33642578125,0.0,9.87667847,-0.69995892,1.31072628,0.03076032,-,15.29411793,0.01453545,1.00520968,-0.06707828,0.0167623,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,252.82759094,-,-,89,-,38.03921509,27.45098114,-,-,754,-,0.24389505,0.00406492,4.59799623,-6.25,2.34375,-,1.5625,9.64800072,438.33642578,0,17.34113312,78.53703308,18,0,-,45,6.23662281,0,12.07865524,8.27889538,0,34.12049484,0.095,0.76499999,5.09803915,630,0,0,15.29411793,-2.5,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.54196262,-,13.68799973,13.89999962
Fri Mar 27 18:13:04 GMT+05:30 2020,27-Mar-2020 18:13:04.502,78.5370323,17.34113235,0.0,9.648001,438.34466552734375,0.0,9.8431406,-0.67121315,1.2280823,0.03246981,-,13.33333397,-0.01123483,0.97859329,-0.06085151,0.02506469,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,252.82759094,-,-,89,-,38.03921509,27.45098114,-,-,754,-,0.24389505,0.00406492,4.59799623,-6.25,2.34375,-,1.5625,9.64800072,438.34466553,0,17.34113312,78.53703308,18,0,-,45,6.23662281,0,12.07865524,8.27889538,0,34.12049484,0.095,0.76499999,5.09803915,630,0,0,15.29411793,-2.5,-,6.40073538,15.62287998,18.08117294,-,0,0,0,-7.54196262,-,13.68799973,13.89999962
