GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Drivers demand engine % torque(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 2 sensor 1(V),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Speed (GPS)(km/h),Speed (OBD)(km/h),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sat Aug 14 16:24:36 GMT+05:30 2021,14-Aug-2021 16:24:36.494,73.78829233,18.62877153,0.0,9.648001,492.94464111328125,0.0,-9.96539307,0.00561523,-0.43095398,-0.02534518,-,-,-0.00536399,0.06638429,-0.00878664,-0.0002442,-,-,-,-,14.69999981,24,-,0,-,426.6000061,-,-,-,-,-,-,-,87,-,40.39215851,30.19607925,-,686,-,-,-,-,-,-,-,-,0.96794581,16.13242912,2.34375,-0.78125,9.64800072,492.94464111,0,18.62877083,73.78829193,16,0,-,56,6.23662281,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,12.89999962,-
Sat Aug 14 16:24:37 GMT+05:30 2021,14-Aug-2021 16:24:37.487,73.78829232,18.62877153,0.0,9.648001,492.9434814453125,0.0,-10.09468079,-0.02072144,-0.74938965,-0.02985944,-,-,0.00499676,0.05686504,-0.00732142,-0.02660256,-,-,-,-,14.69999981,24,-,0,-,427.70001221,-,-,-,-,-,-,-,87,-,39.60784531,30.19607925,-,686,-,-,-,-,-,-,-,-,0.96794581,16.13242912,2.34375,0.78125,9.64800072,492.94348145,0,18.62877083,73.78829193,16,0,-,56,6.23662281,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,12.69999981,-
Sat Aug 14 16:24:38 GMT+05:30 2021,14-Aug-2021 16:24:38.488,73.78829233,18.62877153,0.0,9.648001,492.943603515625,0.0,-10.6477356,-0.00636292,-0.54588318,-0.0419247,-,-,0.01777988,0.04466268,-0.01903693,-0.0373397,-,-,-,-,14.69999981,24,-,0,-,427.70001221,-,-,-,-,-,-,-,87,-,49.01960754,30.58823586,-,623,-,-,-,-,-,-,-,-,0.99262655,16.54377556,2.34375,0.78125,9.64800072,492.94360352,0,18.62877083,73.78829193,15,0,-,56,6.38166046,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,12.69999981,-
Sat Aug 14 16:24:39 GMT+05:30 2021,14-Aug-2021 16:24:39.487,73.78829233,18.62877153,0.0,9.648001,492.9429931640625,0.0,-8.74914551,0.31207275,-1.63044739,-0.0237078,-,-,0.06116992,-0.0002442,-0.01366758,0.00854243,-,-,-,-,14.69999981,24,-,0,-,428.70001221,-,-,-,-,-,-,-,87,-,49.01960754,42.74509811,-,623,-,-,-,-,-,-,-,-,0.99262655,16.54377556,2.34375,0.78125,9.64800072,492.94299316,0,18.62877083,73.78829193,15,0,-,56,6.38166046,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,12.19999981,-
Sat Aug 14 16:24:40 GMT+05:30 2021,14-Aug-2021 16:24:40.487,73.78829404,18.6287754,0.56,9.648001,493.543701171875,20.6,-9.63020325,-0.1452179,-1.23062134,-0.01623505,-,-,0.00321598,0.06662693,-0.01195972,-0.1154395,-,-,-,-,14.69999981,24,-,0,-,428.70001221,-,-,-,-,-,-,-,87,-,67.45098114,42.74509811,-,573.5,-,-,-,-,-,-,-,-,1.2292732,20.48788643,2.34375,-4.6875,9.64800072,493.54370117,20.60000038,18.62877464,73.78829193,15,0,-,57,8.70226383,-,-,-,-,-,-,-,0,2.01600003,0,-,-,-,-,-,-,0,0,0,12.19999981,-
Sat Aug 14 16:24:41 GMT+05:30 2021,14-Aug-2021 16:24:41.487,73.78829758,18.62878205,1.12,9.648001,492.01495361328125,34.2,-10.70999146,-0.22422791,-1.00556946,-0.03699565,-,-,0.0065972,0.05954972,0.00683301,-0.0834676,-,-,-,-,14.69999981,24,-,0,-,429.8999939,-,-,-,-,-,-,-,87,-,67.45098114,43.13725662,-,820.75,-,-,-,-,-,-,-,-,1.0717659,17.86276436,2.34375,-4.6875,9.64800072,492.01495361,34.20000076,18.62878227,73.78829956,14,0,-,57,8.26715088,-,-,-,-,-,-,-,0,4.03200006,0,-,-,-,-,-,-,0,0,0,12.60000038,-
Sat Aug 14 16:24:42 GMT+05:30 2021,14-Aug-2021 16:24:42.487,73.78830266,18.62879359,1.42,9.648001,492.4647216796875,27.6,-10.79379272,-0.0255127,-0.64164734,-0.02181526,-,-,0.04278517,0.02367368,0.00219627,-0.08883695,-,-,-,-,14.69999981,24,5,0.15151516,-,430.79998779,-,-,-,-,-,-,-,87,1.62589848,49.01960754,43.13725662,-,820.75,-,-,-,-,-,-,-,-,1.0717659,17.86276436,2.34375,-4.6875,9.64800072,492.46472168,27.60000038,18.62879372,73.78829956,15,0.96799994,2.1803658,56,8.26715088,-,-,-,-,-,-,-,0,5.11199951,5,18.91666603,-,-,-,-,-,1,1.06400001,0,13.30000019,-
Sat Aug 14 16:24:43 GMT+05:30 2021,14-Aug-2021 16:24:43.487,73.78830845,18.62880795,1.66,9.648001,492.005859375,28.7,-10.1736908,-0.29605103,-0.60812378,-0.02751353,-,-,0.09344966,-0.02221001,-0.00390569,-0.13154601,-,-,-,-,14.69999981,24,5.5,0.32352942,-,430.79998779,-,-,-,-,-,-,-,87,0.38059202,54.11764908,32.15686417,-,939,-,-,-,-,-,-,-,-,1.21459794,20.24329758,2.34375,-4.6875,9.64800072,492.00585938,28.70000076,18.62880707,73.78830719,18,0.02400017,0.51038229,56,6.52669811,-,-,-,-,-,-,-,0.39215687,5.97599983,6,3.87040234,-,-,4.11651707,24.29187393,0.00260181,2,2.10599995,0,13.30000019,-
Sat Aug 14 16:24:44 GMT+05:30 2021,14-Aug-2021 16:24:44.487,73.78831454,18.62882294,1.53,9.648001,492.30859375,24.6,-9.59429932,-0.44688416,-0.46208191,-0.02377109,-,-,0.07808425,-0.01293497,0.00146366,-0.07687723,-,-,-,-,14.69999981,24,5.5,0.32352942,-,431.8999939,-,-,-,-,-,-,-,87,0.38059202,54.11764908,32.15686417,-,939,-,-,-,-,-,-,-,-,1.21459794,20.24329758,2.34375,-0.78125,9.64800072,492.30859375,24.60000038,18.62882233,73.78831482,18,0.02400017,0.51038229,57,6.52669811,-,-,-,-,-,-,-,5.49019623,5.5079999,6,3.87040234,-,-,4.11651707,24.29187393,0.00260181,2,2.98000002,0,13.39999962,-
Sat Aug 14 16:24:45 GMT+05:30 2021,14-Aug-2021 16:24:45.487,73.78832188,18.62883977,2.1,9.648001,492.2467041015625,26.1,-9.01249695,0.4150238,-1.24258423,-0.0607973,-,-,0.07376169,-0.01147131,-0.03636445,-0.02904303,-,-,-,-,14.69999981,24,6.66666651,0.5714286,-,431.8999939,-,-,-,-,-,-,-,87,1.68204522,39.2156868,33.72549057,-,1415.75,-,-,-,-,-,-,-,-,1.38538277,23.08971214,2.34375,3.90625,9.64800072,492.2467041,26.10000038,18.62883949,73.78832245,19,1.44000053,2.25565982,57,6.52669811,-,-,-,-,-,-,-,5.49019623,7.55999947,9,11.34522629,-,-,4.22368765,23.67550087,0.00621222,4,4.079,0,13.39999962,-
Sat Aug 14 16:24:46 GMT+05:30 2021,14-Aug-2021 16:24:46.486,73.78833073,18.62886019,2.49,9.648001,491.5926513671875,23.7,-9.57275391,0.15405273,-1.21624756,-0.02302814,-,-,0.04800605,0.02294107,-0.07443831,0.14765561,-,-,-,-,14.69999981,24,6.66666651,0.5714286,-,432.8999939,-,-,-,-,-,-,-,87,1.68204522,39.2156868,30.19607925,-,1581.5,-,-,-,-,-,-,-,-,1.90310216,31.71836853,2.34375,3.90625,9.64800072,491.59265137,23.70000076,18.62886047,73.78833008,19,1.44000053,2.25565982,57,5.94654703,-,-,-,-,-,-,-,5.49019623,8.96399975,9,11.34522629,-,-,4.392138,22.76748276,0.00621222,5,5.07600021,0,13.39999962,-
Sat Aug 14 16:24:47 GMT+05:30 2021,14-Aug-2021 16:24:47.486,73.78834059,18.62888628,3.14,9.648001,491.99627685546875,21.8,-9.48655701,-0.48519897,-0.11013794,-0.03419034,-,-,0.00615368,0.06077073,-0.03075089,-0.089568,-,-,-,-,14.69999981,24,7.75,0.8611111,-,434.3999939,-,-,-,-,-,-,-,87,1.44646621,36.47058868,30.19607925,-,1581.5,-,-,-,-,-,-,-,-,1.90310216,31.71836853,2.34375,0.78125,9.64800072,491.99627686,21.79999924,18.62888718,73.78833771,19,2.03600025,1.93974316,57,5.94654703,-,-,-,-,-,-,-,5.49019623,11.3039999,11,8.73375797,-,-,4.392138,22.76748276,0.01077333,6,6.01399994,0,13.39999962,-
Sat Aug 14 16:24:48 GMT+05:30 2021,14-Aug-2021 16:24:48.486,73.78835061,18.62891723,3.39,9.648001,492.04443359375,18.7,-9.9103241,-0.33436584,-0.66558838,-0.01957664,-,-,0.04191363,0.02538154,-0.02465049,-0.09591416,-,-,-,-,14.69999981,24,8.80000019,1.1891892,-,434.3999939,-,-,-,-,-,-,-,87,1.58590651,34.11764908,27.84313774,-,1880.5,-,-,-,-,-,-,-,-,1.97035491,32.83924866,2.34375,0.78125,9.64800072,492.04443359,18.70000076,18.62891769,73.78835297,19,0.79599953,2.12673569,57,5.51143408,-,-,-,-,-,-,-,5.49019623,12.20400047,13,8.05315876,-,-,4.68976688,21.32257843,0.01667667,7,7.09499979,0,13.39999962,-
Sat Aug 14 16:24:49 GMT+05:30 2021,14-Aug-2021 16:24:49.487,73.78835972,18.6289495,3.41,9.648001,492.093017578125,16.7,-9.76907349,0.3000946,-0.37828064,-0.01795263,-,-,-0.03520977,0.09981985,0.05686504,0.0734615,-,-,-,-,14.69999981,24,8.80000019,1.1891892,-,436.6000061,-,-,-,-,-,-,-,87,1.58590651,34.11764908,27.84313774,-,1880.5,-,-,-,-,-,-,-,-,1.97035491,32.83924866,2.34375,0.78125,9.64800072,492.09301758,16.70000076,18.62895012,73.7883606,19,0.79599953,2.12673569,56,5.51143408,-,-,-,-,-,-,-,5.49019623,12.27600002,13,8.05315876,-,-,4.68976688,21.32257843,0.01667667,7,7.99100018,0,13.39999962,-
Sat Aug 14 16:24:50 GMT+05:30 2021,14-Aug-2021 16:24:50.487,73.7883691,18.62898522,4.01,9.648001,492.0919189453125,15.3,-11.59106445,0.21630859,-0.55305481,-0.01196049,-,-,0.01422393,0.04929942,0.06418646,0.03075089,-,-,-,-,14.69999981,24,9.5,1.5,-,436.6000061,-,-,-,-,-,-,-,86,1.58590651,20.7843132,26.66666603,-,1917.75,-,-,-,-,-,-,-,-,1.91709721,31.9516201,2.34375,-6.25,9.64800072,492.09191895,15.30000019,18.62898445,73.78836823,19,1.43600082,2.12673569,56,4.49617004,-,-,-,-,-,-,-,5.49019623,14.43600082,13,8.05315876,-,-,5.10800695,19.57670021,0.02267111,8,8.99499989,0,13.39999962,-
Sat Aug 14 16:24:51 GMT+05:30 2021,14-Aug-2021 16:24:51.487,73.78837983,18.62902078,3.76,9.648001,491.59588623046875,17.1,-8.95265198,-1.1388092,-0.19392395,-0.00380183,-,-,0.06334268,-0.00073261,-0.06687269,0.00170942,-,-,-,-,14.69999981,24,9.5,1.5,-,438.6000061,-,-,-,-,-,-,-,86,1.58590651,20.7843132,20.3921566,-,1917.75,-,-,-,-,-,-,-,-,2.01813912,33.63565063,2.34375,-6.25,9.64800072,491.59588623,17.10000038,18.62902069,73.78838348,17,1.43600082,2.12673569,56,4.6412077,-,-,-,-,-,-,-,0,13.5359993,13,8.05315876,-,-,5.33025026,18.76045609,0.02267111,10,10.01099968,0,13.39999962,-
Sat Aug 14 16:24:52 GMT+05:30 2021,14-Aug-2021 16:24:52.487,73.78838865,18.62905309,3.26,9.648001,491.65185546875,17.7,-10.5447998,-0.10691833,-1.0582428,-0.02407239,-,-,0.03806306,0.02806622,-0.06565168,-0.0688232,-,-,-,-,14.69999981,24,9.85714245,1.76923072,-,438.6000061,-,-,-,-,-,-,-,86,-,29.80392265,20.3921566,-,1122.75,-,-,-,-,-,-,-,-,2.01813912,33.63565063,2.34375,-4.6875,9.64800072,491.65185547,17.70000076,18.62905312,73.78839111,17,1.5359993,-,56,4.6412077,-,-,-,-,-,-,-,0,11.73600006,12,-,-,-,5.33025026,18.76045609,0.02845236,10,10.79100037,0,13.39999962,-
Sat Aug 14 16:24:53 GMT+05:30 2021,14-Aug-2021 16:24:53.487,73.78839777,18.62908353,3.36,9.648001,491.7232666015625,18.2,-9.97497559,-0.90658569,-0.88824463,-0.02945721,-,-,0.07551987,-0.01000609,-0.09664677,-0.02806622,-,-,-,-,14.69999981,24,10.125,2.0250001,-,440.6000061,-,-,-,-,-,-,-,85,-,29.80392265,49.01960754,-,922.5,-,-,-,-,-,-,-,-,2.54765892,42.46097946,2.34375,-4.6875,9.64800072,491.7232666,18.20000076,18.62908363,73.78839874,19,0.09599972,-,56,10.00760365,-,-,-,-,-,-,-,6.27450991,12.09599972,12,-,-,-,5.24166059,19.07752609,0.03417236,12,12.01500034,0,13.39999962,-
Sat Aug 14 16:24:54 GMT+05:30 2021,14-Aug-2021 16:24:54.487,73.78840449,18.62911507,3.48,9.648001,492.31195068359375,12.5,-9.93426514,-0.68630981,-0.71586609,-0.04089155,-,-,0.05945872,0.00634616,-0.10982595,0.00634616,-,-,-,-,14.69999981,24,10.125,2.0250001,-,443,-,-,-,-,-,-,-,85,-,72.15686035,49.01960754,-,922.5,-,-,-,-,-,-,-,-,2.54765892,42.46097946,2.34375,-3.90625,9.64800072,492.31195068,12.5,18.62911415,73.78840637,19,0.09599972,-,56,10.00760365,-,-,-,-,-,-,-,6.27450991,12.52799988,12,-,-,-,5.24166059,19.07752609,0.03417236,12,13,0,13.39999962,-
Sat Aug 14 16:24:55 GMT+05:30 2021,14-Aug-2021 16:24:55.487,73.78841048,18.62914901,3.77,9.648001,492.7264404296875,11.2,-10.585495,-0.28408813,0.18435669,-0.02628713,-,-,-0.02126635,0.08224658,-0.0104945,0.00195207,-,-,-,-,14.69999981,24,10.44444466,2.29268289,-,443,-,-,-,-,-,-,-,85,0.77330416,32.94117737,27.45098114,-,944,-,-,-,-,-,-,-,-,1.12247634,18.70793915,2.34375,-4.6875,9.64800072,492.72644043,11.19999981,18.62914848,73.788414,19,0.57199955,1.03701794,56,5.36639643,-,-,-,-,-,-,-,0,13.57199955,13,7.82240677,-,-,5.92276096,16.88366699,0.04047792,14,14.08600044,0,13.39999962,-
Sat Aug 14 16:24:56 GMT+05:30 2021,14-Aug-2021 16:24:56.487,73.7884186,18.62918068,3.4,9.648001,491.42706298828125,10.8,-9.91511536,-0.16438293,-0.53869629,-0.04463581,-,-,0.03377183,0.02709096,-0.00927504,0.02221001,-,-,-,-,14.69999981,24,10.44444466,2.29268289,-,445,-,-,-,-,-,-,-,85,0.77330416,32.94117737,29.01960754,-,944,-,-,-,-,-,-,-,-,1.12247634,18.70793915,2.34375,-4.6875,9.64800072,491.42706299,10.80000019,18.62918091,73.78842163,12,0.57199955,1.03701794,56,5.36639643,-,-,-,-,-,-,-,0,12.23999977,13,7.82240677,-,-,5.92276096,16.88366699,0.04047792,15,15.08899975,0,13.30000019,-
Sat Aug 14 16:24:57 GMT+05:30 2021,14-Aug-2021 16:24:57.486,73.78842799,18.62920863,2.97,9.648001,491.99664306640625,16.8,-11.76823425,0.4437561,-0.4692688,0.04218373,-,-,0.09639264,-0.0314835,-0.10226032,0.0214774,-,-,-,-,14.69999981,24,10.30000019,2.4523809,-,445,-,-,-,-,-,-,-,85,0.77330416,45.09804153,29.01960754,-,730,-,-,-,-,-,-,-,-,1.30385828,21.73097038,2.34375,-1.5625,9.64800072,491.99664307,16.79999924,18.62920952,73.78842926,12,3.23999977,1.03701794,56,6.09158516,-,-,-,-,-,-,-,0,10.69199944,9,7.82240677,-,-,6.37248039,15.69215012,0.04539736,15,15.90999985,0,12.80000019,-
