GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Drivers demand engine % torque(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 2 sensor 1(V),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Speed (GPS)(km/h),Speed (OBD)(km/h),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sat Aug 14 15:22:21 GMT+05:30 2021,14-Aug-2021 15:22:20.391,73.78829955,18.62857565,0.0,3.216,500.20556640625,0.0,-10.19284058,-0.06143188,-0.49320984,0.04736513,-,-,0.02772763,-0.03392397,-0.00732142,-0.01171551,-,-,-,-,14.69999981,24,-,0,-,225.6000061,-,-,-,-,-,-,-,43,-,24.70588303,19.6078434,-,887.25,-,-,-,-,-,-,-,-,0.94229805,15.70496845,2.34375,-7.8125,3.21600008,500.20556641,0,18.62857628,73.78829956,9,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:22 GMT+05:30 2021,14-Aug-2021 15:22:21.384,73.7882996,18.62857552,0.0,3.216,500.18695068359375,0.0,-9.97257996,-0.13804626,-0.66319275,0.03697431,-,-,0.04336664,-0.05100884,0.00805403,0.03441238,-,-,-,-,14.69999981,24,-,0,-,227.1000061,-,-,-,-,-,-,-,44,-,24.70588303,20,-,901,-,-,-,-,-,-,-,-,0.93101776,15.51696301,2.34375,-7.8125,3.21600008,500.18695068,0,18.62857628,73.78829956,8,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:23 GMT+05:30 2021,14-Aug-2021 15:22:22.386,73.78829954,18.62857554,0.0,3.216,500.177734375,0.0,-10.00848389,-0.10691833,-0.59854126,0.0383904,-,-,0.04885238,-0.05637819,0.01244657,0.02855462,-,-,-,-,14.69999981,24,-,0,-,228.8999939,-,-,-,-,-,-,-,44,-,25.09803963,20,-,901,-,-,-,-,-,-,-,-,0.93101776,15.51696301,2.34375,-6.25,3.21600008,500.17773438,0,18.62857628,73.78829956,8,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:24 GMT+05:30 2021,14-Aug-2021 15:22:23.384,73.78829958,18.62857545,0.0,4.288,500.162353515625,0.0,-10.09228516,0.11813354,-0.30885315,0.03753361,-,-,0.03064047,-0.03758546,-0.00561355,0.00414834,-,-,-,-,14.69999981,24,-,0,-,228.8999939,-,-,-,-,-,-,-,44,-,25.09803963,20,-,886.25,-,-,-,-,-,-,-,-,0.94544607,15.75743484,2.34375,-3.90625,4.28800011,500.16235352,0,18.62857628,73.78829956,8,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:25 GMT+05:30 2021,14-Aug-2021 15:22:24.384,73.78829945,18.62857552,0.0,4.288,500.1722412109375,0.0,-10.01806641,-0.08776855,-0.63925171,0.03719813,-,-,0.02855153,-0.03392397,-0.01342338,-0.02440628,-,-,-,-,14.69999981,24,-,0,-,230.6000061,-,-,-,-,-,-,-,44,-,25.09803963,20,-,886.25,-,-,-,-,-,-,-,-,0.92996842,15.49947453,2.34375,-3.90625,4.28800011,500.17224121,0,18.62857628,73.78829956,8,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:26 GMT+05:30 2021,14-Aug-2021 15:22:25.385,73.78829953,18.62857539,0.0,4.288,500.1715087890625,0.0,-10.01806641,0.01280212,-0.30645752,0.03741448,-,-,0.04160786,-0.04856836,0.00097526,0.00414834,-,-,-,-,14.69999981,24,-,0,-,232.3999939,-,-,-,-,-,-,-,44,-,25.09803963,20,-,896,-,-,-,-,-,-,-,-,0.92996842,15.49947453,2.34375,-0.78125,4.28800011,500.17150879,0,18.62857628,73.78829956,9,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:27 GMT+05:30 2021,14-Aug-2021 15:22:26.383,73.78829955,18.62857543,0.0,3.216,500.1749267578125,0.0,-10.20721436,-0.00636292,-0.37828064,0.03798304,-,-,0.03214545,-0.03978173,0.00951769,0.03490078,-,-,-,-,14.69999981,24,-,0,-,232.3999939,-,-,-,-,-,-,-,44,-,25.09803963,20,-,902.5,-,-,-,-,-,-,-,-,0.94019943,15.66999054,2.34375,0,3.21600008,500.17492676,0,18.62857628,73.78829956,9,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:28 GMT+05:30 2021,14-Aug-2021 15:22:27.383,73.78829954,18.62857536,0.0,3.216,500.164794921875,0.0,-9.99891663,-0.04945374,-0.4405365,0.03776459,-,-,0.04427978,-0.05173989,0.00732142,0.02196581,-,-,-,-,14.69999981,24,-,0,-,234.1000061,-,-,-,-,-,-,-,45,-,25.09803963,20,-,902.5,-,-,-,-,-,-,-,-,0.94019943,15.66999054,2.34375,0,3.21600008,500.16479492,0,18.62857628,73.78829956,8,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:29 GMT+05:30 2021,14-Aug-2021 15:22:28.385,73.78829957,18.62857529,0.0,3.216,500.15386962890625,0.0,-10.2598877,-0.07099915,-0.60572815,0.03808741,-,-,0.01943902,-0.02660256,0.00097526,0.01000609,-,-,-,-,14.69999981,24,-,0,-,234.1000061,-,-,-,-,-,-,-,45,-,25.09803963,20,-,878.25,-,-,-,-,-,-,-,-,0.94702005,15.78366756,2.34375,-2.34375,3.21600008,500.15386963,0,18.62857437,73.78829956,9,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:30 GMT+05:30 2021,14-Aug-2021 15:22:29.383,73.78829955,18.62857523,0.0,3.216,500.15631103515625,0.0,-9.8815918,-0.18113708,-0.66079712,0.03440229,-,-,0.04887716,-0.05515718,0.00048841,-0.01098291,-,-,-,-,14.69999981,24,-,0,-,235.8999939,-,-,-,-,-,-,-,45,-,25.09803963,20,-,893.75,-,-,-,-,-,-,-,-,0.92157382,15.35956383,2.34375,-2.34375,3.21600008,500.15631104,0,18.62857437,73.78829956,9,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:31 GMT+05:30 2021,14-Aug-2021 15:22:30.384,73.78829958,18.62857514,0.0,3.216,500.16546630859375,0.0,-10.12101746,-0.1164856,-0.67037964,0.04113811,-,-,0.0240145,-0.02879882,-0.01659646,-0.03197191,-,-,-,-,14.69999981,24,-,0,-,237.6000061,-,-,-,-,-,-,-,45,-,25.09803963,20,-,893.75,-,-,-,-,-,-,-,-,0.92157382,15.35956383,2.34375,0.78125,3.21600008,500.16546631,0,18.62857437,73.78829956,9,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:32 GMT+05:30 2021,14-Aug-2021 15:22:31.383,73.7882995,18.62857516,0.0,3.216,500.1580810546875,0.0,-10.08032227,0.00082397,-0.28730774,0.03703848,-,-,0.0263216,-0.03343712,0.00097526,0.00854243,-,-,-,-,14.69999981,24,-,0,-,237.6000061,-,-,-,-,-,-,-,45,-,25.09803963,20,-,890.75,-,-,-,-,-,-,-,-,0.93783844,15.63064003,2.34375,3.125,3.21600008,500.15808105,0,18.62857437,73.78829956,9,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:33 GMT+05:30 2021,14-Aug-2021 15:22:32.383,73.78829946,18.62857518,0.0,3.216,500.17901611328125,0.0,-10.08509827,0.25700378,-0.27772522,0.03813988,-,-,0.04791952,-0.05540138,0.0102503,0.02440628,-,-,-,-,14.69999981,24,-,0,-,239.1000061,-,-,-,-,-,-,-,45,-,25.09803963,19.6078434,-,886.5,-,-,-,-,-,-,-,-,0.93469048,15.57817459,2.34375,3.125,3.21600008,500.17901611,0,18.62857437,73.78829956,9,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:34 GMT+05:30 2021,14-Aug-2021 15:22:33.384,73.78829935,18.62857517,0.0,3.216,500.1787109375,0.0,-10.14256287,0.02716064,-0.29927063,0.03639847,-,-,0.03759093,-0.04490688,0.01927958,0.02269686,-,-,-,-,14.69999981,24,-,0,-,240.79998779,-,-,-,-,-,-,-,45,-,24.70588303,19.6078434,-,886.5,-,-,-,-,-,-,-,-,0.93469048,15.57817459,2.34375,1.5625,3.21600008,500.17871094,0,18.62857437,73.78829956,9,0,-,26,4.20609426,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:35 GMT+05:30 2021,14-Aug-2021 15:22:34.384,73.78829931,18.6285751,0.0,3.216,500.16595458984375,0.0,-10.06594849,-0.12127686,-0.54826355,0.03730045,-,-,0.02401032,-0.03001984,-0.00976189,-0.01464284,-,-,-,-,14.69999981,24,-,0,-,240.79998779,-,-,-,-,-,-,-,45,-,33.72549057,25.09803963,-,888,-,-,-,-,-,-,-,-,1.09061539,18.17692375,2.34375,-0.78125,3.21600008,500.16595459,0,18.62857437,73.78829956,9,0,-,26,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Sat Aug 14 15:22:36 GMT+05:30 2021,14-Aug-2021 15:22:35.384,73.78829921,18.62857512,0.0,3.216,500.1650390625,0.0,-9.86483765,-0.00157166,-0.34237671,0.03494304,-,-,0.04009486,-0.04588369,-0.00780982,-0.01903693,-,-,-,-,14.69999981,24,-,0,-,244.20001221,-,-,-,-,-,-,-,45,-,33.72549057,23.52941132,-,888,-,-,-,-,-,-,-,-,1.06032956,17.67215919,2.34375,-0.78125,3.21600008,500.16503906,0,18.62857437,73.78829956,9,0,-,26,4.78624535,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Sat Aug 14 15:22:37 GMT+05:30 2021,14-Aug-2021 15:22:36.384,73.78829916,18.62857506,0.0,3.216,500.14813232421875,0.0,-10.01806641,0.02236938,-0.23703003,0.04790487,-,-,0.10041026,-0.10665286,0.01000609,-0.01171551,-,-,-,-,14.69999981,24,-,0,-,247.70001221,-,-,-,-,-,-,-,45,-,29.80392265,23.52941132,-,917.5,-,-,-,-,-,-,-,-,1.06032956,17.67215919,2.34375,2.34375,3.21600008,500.14813232,0,18.62857437,73.78829956,9,0,-,26,4.78624535,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Sat Aug 14 15:22:38 GMT+05:30 2021,14-Aug-2021 15:22:37.383,73.78829915,18.62857519,0.0,3.216,500.162841796875,0.0,-10.18566895,-0.10691833,-1.01753235,0.05062455,-,-,0.00194508,-0.00341728,0.01781592,-0.06638429,-,-,-,-,14.69999981,24,-,0,-,247.70001221,-,-,-,-,-,-,-,45,-,49.41176605,38.82352829,-,932,-,-,-,-,-,-,-,-,1.72632825,28.7721386,2.34375,4.6875,3.21600008,500.1628418,0,18.62857437,73.78829956,9,0,-,26,7.54196215,-,-,-,-,-,-,-,3.52941179,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Sat Aug 14 15:22:39 GMT+05:30 2021,14-Aug-2021 15:22:38.383,73.78829919,18.62857526,0.0,3.216,500.16253662109375,0.0,-10.23832703,0.42698669,-2.03985596,0.04138728,-,-,0.00838153,-0.01244812,-0.02367368,-0.03880492,-,-,-,-,14.69999981,24,-,0,-,252.29998779,-,-,-,-,-,-,-,45,-,49.41176605,47.45098114,-,932,-,-,-,-,-,-,-,-,1.72632825,28.7721386,2.34375,4.6875,3.21600008,500.16253662,0,18.62857437,73.78829956,10,0,-,26,7.54196215,-,-,-,-,-,-,-,5.88235283,0,0,-,-,-,-,-,-,0,0,0,13.80000019,-
Sat Aug 14 15:22:40 GMT+05:30 2021,14-Aug-2021 15:22:39.384,73.78830903,18.62858936,1.29,3.216,500.0428466796875,38.9,-10.16650391,-0.10691833,-1.06781006,0.04163376,-,-,0.02319883,-0.02391788,0.05710924,-0.06077073,-,-,-,-,14.69999981,24,7,0.26923078,-,252.29998779,-,-,-,-,-,-,-,45,3.3607676,51.76470566,47.45098114,-,1039.5,-,-,-,-,-,-,-,-,2.02339721,33.72328568,2.34375,8.59375,3.21600008,500.04284668,38.90000153,18.62858963,73.78830719,12,7,4.50686359,26,8.70226383,-,-,-,-,-,-,-,5.88235283,4.64399958,7,30.87279701,-,-,-,-,-,0,0.73299998,0,13.89999962,-
