,TIME,SPEED,Latitude,Longitude,CARS,PERSONS,MOTORCYCLES,TRUCKS
105,144,0,17.34074328,78.53696959,1,0,0,0
106,145,1,17.34074613,78.53697202,0,0,0,0
107,146,1,17.34074912,78.5369793,0,0,0,0
108,147,5,17.34075261,78.53698288,0,0,0,0
109,148,11,17.34077904,78.53697913,0,4,1,0
110,149,13,17.34080962,78.53697982,1,4,2,0
111,150,15,17.34085212,78.53698241,1,2,2,0
112,151,17,17.34089748,78.5369829,1,2,0,0
113,152,17,17.34093741,78.53698551,1,3,0,0
114,153,18,17.34097993,78.53700769,2,3,0,0
115,154,17,17.34102005,78.53700975,1,2,0,0
116,155,8,17.34107674,78.53701185,1,2,0,0
117,156,7,17.34109505,78.53702276,0,2,1,0
118,157,5,17.34111905,78.53703036,1,4,0,0
119,158,3,17.34113201,78.53703079,1,3,1,0
120,159,1,17.34114321,78.537033,1,3,2,0
