 Device Time,Trip Time(Since journey start)(s),Engine RPM(rpm),Speed (OBD)(km/h),Engine kW (At the wheels)(kW),Torque(Nm),Gear Status,Power/ Torque,W,H/J
38:49.1,952,1967,25,10.50823784,51.01378632,,205.9881965,206.0666667,0.9996192
38:50.1,953,2314.25,29,11.46465683,47.30562973,,242.3529059,242.4452381,0.999619163
38:51.1,954,2558,32,11.46465683,47.30562973,,242.3529059,267.9809524,0.904366164
38:52.1,955,2778.25,35,11.07133961,38.05317307,,290.9439271,291.0547619,0.999619196
38:53.1,956,2776,34,11.07133961,38.05317307,,290.9439271,290.8190476,1.000429406
38:54.1,957,2147.75,26,11.07133961,38.05317307,,290.9439271,225.002381,1.293070437
38:55.1,958,1788.75,22,11.07133961,38.05317307,,290.9439271,187.3928571,1.552588138
38:56.1,959,1993.25,25,-,-,,#VALUE!,208.8166667,#VALUE!
38:57.1,960,2352.25,29,-,-,,#VALUE!,246.4261905,#VALUE!
38:58.1,961,2653.75,34,18.14245415,65.28268433,,277.9060686,278.0119048,0.999619311
38:59.1,962,3005.75,37,18.14245415,65.28268433,,277.9060686,314.8880952,0.882555018
39:00.1,963,2399.75,36,4.13931608,16.47117615,,251.3066488,251.402381,0.999619207
39:01.1,964,1856.25,35,4.13931608,16.47117615,,251.3066488,194.4642857,1.292302326
39:02.1,965,2151,37,2.10143304,9.92422104,3,211.7479076,225.3428571,0.939669934
39:03.1,966,2296.75,40,2.10143304,9.92422104,,211.7479076,240.6119048,0.880039198
39:04.1,967,2283.75,42,11.91448116,49.53628922,,240.5202599,239.25,1.005309341
39:05.1,968,2197.5,41,11.91448116,49.53628922,,240.5202599,230.2142857,1.044766875
39:06.1,969,2090.25,39,11.91448116,49.53628922,,240.5202599,218.9785714,1.0983735
39:07.1,970,1824.25,34,-,-,,#VALUE!,191.1119048,#VALUE!
39:08.1,971,1582.5,29,-,-,,#VALUE!,165.7857143,#VALUE!
39:09.1,972,1324,25,-,-,,#VALUE!,138.7047619,#VALUE!
39:10.1,973,1300.25,22,-,-,,#VALUE!,136.2166667,#VALUE!
39:11.1,974,1289,24,-,-,,#VALUE!,135.0380952,#VALUE!
39:12.1,975,1459,27,-,-,,#VALUE!,152.847619,#VALUE!
39:13.1,976,1613.25,30,10.02807903,59.35784149,,168.9427846,169.0071429,0.999619198
39:14.1,977,1785.5,33,10.02807903,59.35784149,,168.9427846,187.052381,0.903184358
39:15.1,978,1932.25,36,12.50445938,61.79646683,,202.3490989,202.4261905,0.999619162
39:16.1,979,2110,39,12.50445938,61.79646683,,202.3490989,221.047619,0.915409538
39:17.1,980,2276,42,14.09017754,59.11616516,,238.3472863,238.4380952,0.999619151
39:18.1,981,2471.25,46,19.18585968,74.13555908,,258.7942941,258.8928571,0.99961929
39:19.1,982,2634.75,49,19.18585968,74.13555908,,258.7942941,276.0214286,0.937587692
39:20.1,983,2790.75,52,17.54486465,60.03314972,,292.2529424,292.3642857,0.999619163
39:21.1,984,2844.25,55,17.54486465,60.03314972,,292.2529424,297.9690476,0.980816446
39:22.1,985,1826,55,9.45073414,31.72924995,,297.8555798,191.2952381,1.557046494
39:23.1,986,2119,54,9.45073414,31.72924995,4,297.8555798,221.9904762,1.341749362
39:24.1,987,2155.25,53,9.45073414,31.72924995,,297.8555798,225.7880952,1.31918195
39:25.1,988,2107.75,52,-,-,,#VALUE!,220.8119048,#VALUE!
39:26.1,989,1932.5,48,-,-,,#VALUE!,202.452381,#VALUE!
39:27.1,990,1820,45,-,-,,#VALUE!,190.6666667,#VALUE!
39:28.1,991,1832,44,-,-,,#VALUE!,191.9238095,#VALUE!
39:29.1,992,1841.75,45,-,-,,#VALUE!,192.9452381,#VALUE!
39:30.1,993,1908.75,47,10.11386013,50.59760666,,199.8881132,199.9642857,0.99961907
39:31.1,994,1872.5,46,10.11386013,50.59760666,,199.8881132,196.1666667,1.018970841
39:32.1,995,1814.25,44,10.11386013,50.59760666,,199.8881132,190.0642857,1.051686867
39:33.1,996,1654.75,40,-,-,,#VALUE!,173.3547619,#VALUE!
39:34.1,997,1479.25,36,-,-,,#VALUE!,154.9690476,#VALUE!
39:35.1,998,1137.5,29,-,-,,#VALUE!,119.1666667,#VALUE!
39:36.1,999,929.25,22,-,-,,#VALUE!,97.35,#VALUE!
39:37.1,1000,918,20,-,-,3,#VALUE!,96.17142857,#VALUE!
39:38.1,1001,974.5,19,-,-,,#VALUE!,102.0904762,#VALUE!
39:39.1,1002,1062,20,-,-,,#VALUE!,111.2571429,#VALUE!
39:40.1,1003,1227.75,23,-,-,,#VALUE!,128.6214286,#VALUE!
39:41.1,1004,1403.75,26,8.86006832,60.27112579,,147.0035312,147.0595238,0.999619252
39:42.1,1005,1566.75,29,8.86006832,60.27112579,,147.0035312,164.1357143,0.895621845
39:43.1,1006,1752.5,33,13.03746319,71.03903961,,183.52533,183.5952381,0.999619227
39:44.1,1007,1925.75,36,13.03746319,71.03903961,,183.52533,201.7452381,0.909688535
39:45.1,1008,2080.5,39,12.92320061,59.31497574,,217.8741616,217.9571429,0.999619277
39:46.1,1009,2095,39,12.92320061,59.31497574,,217.8741616,219.4761905,0.992700671
39:47.1,1010,2058.75,38,12.92320061,59.31497574,,217.8741616,215.6785714,1.010179918
39:48.1,1011,2031.5,38,-,-,,#VALUE!,212.8238095,#VALUE!
39:49.1,1012,2098,39,-,-,,#VALUE!,219.7904762,#VALUE!
39:50.1,1013,2237.5,41,6.50687027,27.76969528,,234.3155085,234.4047619,0.999619234
39:51.1,1014,2386.25,44,13.91148281,55.66978455,,249.8928804,249.9880952,0.999619122
39:52.1,1015,2536.5,47,14.24833965,53.64032745,,265.6273801,265.7285714,0.999619193
39:53.1,1016,2668.5,49,14.24833965,53.64032745,,265.6273801,279.5571429,0.950172038
39:54.1,1017,2788.25,52,14.74352074,50.49304199,,291.991137,292.102381,0.999619161
39:55.1,1018,2882.25,53,14.74352074,50.49304199,,291.991137,301.95,0.967018172
39:56.1,1019,2876.25,53,2.91513538,9.67819023,,301.2066627,301.3214286,0.999619125
39:57.1,1020,2846,52,2.91513538,9.67819023,,301.2066627,298.152381,1.010244029
39:58.1,1021,2700.5,50,2.91513538,9.67819023,,301.2066627,282.9095238,1.064674878
39:59.1,1022,2533.5,47,2.91513538,9.67819023,,301.2066627,265.4142857,1.134854749
40:00.1,1023,2289,42,-,-,,#VALUE!,239.8,#VALUE!
40:01.1,1024,1962.5,36,-,-,,#VALUE!,205.5952381,#VALUE!
40:02.1,1025,1638.25,30,-,-,,#VALUE!,171.6261905,#VALUE!
40:03.1,1026,1093,21,-,-,,#VALUE!,114.5047619,#VALUE!
40:04.1,1027,1005.75,15,-,-,,#VALUE!,105.3642857,#VALUE!
40:05.1,1028,983.25,13,-,-,2,#VALUE!,103.0071429,#VALUE!
40:06.1,1029,1125,14,1.44170284,12.23729134,,117.8122511,117.8571429,0.9996191
40:07.1,1030,1391,17,4.98575401,34.22676086,,145.6682983,145.7238095,0.999619065
40:08.1,1031,1658,21,4.98575401,34.22676086,,145.6682983,173.6952381,0.838643016
40:09.1,1032,1864,23,7.94638062,40.70853424,,195.2018359,195.2761905,0.999619234
40:10.1,1033,1798.75,22,7.94638062,40.70853424,,195.2018359,188.4404762,1.035880612
40:11.1,1034,1649.75,20,7.94638062,40.70853424,,195.2018359,172.8309524,1.129437946
40:12.1,1035,1600,19,7.94638062,40.70853424,,195.2018359,167.6190476,1.164556407
40:13.1,1036,1623.5,20,-,-,,#VALUE!,170.0809524,#VALUE!
40:14.1,1037,1616,21,-,-,,#VALUE!,169.2952381,#VALUE!
40:15.1,1038,1855.5,23,3.9127059,20.13623428,,194.3116993,194.3857143,0.999619236
40:16.1,1039,2140.25,27,3.9127059,20.13623428,,194.3116993,224.2166667,0.86662469
40:17.1,1040,2466.5,31,13.82359219,53.51824188,,258.2968294,258.3952381,0.999619154
40:18.1,1041,2746,34,13.82359219,53.51824188,,258.2968294,287.6761905,0.897873505
40:19.1,1042,2987,37,12.95596218,41.41870117,,312.8046465,312.9238095,0.999619195
40:20.1,1043,1360.25,37,12.95596218,41.41870117,,312.8046465,142.502381,2.19508365
40:21.1,1044,1950.25,36,12.95596218,41.41870117,,312.8046465,204.3119048,1.531015273
40:22.1,1045,2041.75,38,6.66026163,31.14947319,,213.8161885,213.897619,0.999619301
40:23.1,1046,2115.75,39,6.66026163,31.14947319,3,213.8161885,221.65,0.964656839
40:24.1,1047,2249.75,42,9.97698784,42.34744644,,235.5983342,235.6880952,0.999619153
40:25.1,1048,2325.75,43,9.97698784,42.34744644,,235.5983342,243.65,0.966953968
40:26.1,1049,2413.5,45,7.88715124,31.20577049,,252.7465631,252.8428571,0.999619155
40:27.1,1050,2497.5,46,7.88715124,31.20577049,,252.7465631,261.6428571,0.96599833
40:28.1,1051,2581.25,48,8.45870018,31.29216385,,270.3136869,270.4166667,0.999619181
40:29.1,1052,2664,49,8.45870018,31.29216385,,270.3136869,279.0857143,0.968568698
40:30.1,1053,2734.5,51,8.5150795,29.7353344,,286.3623252,286.4714286,0.999619148
40:31.1,1054,2809.75,52,8.5150795,29.7353344,,286.3623252,294.3547619,0.972847605
40:32.1,1055,2504,46,8.5150795,29.7353344,,286.3623252,262.3238095,1.091636805
40:33.1,1056,2381.25,44,-,-,,#VALUE!,249.4642857,#VALUE!
40:34.1,1057,2353,43,-,-,,#VALUE!,246.5047619,#VALUE!
40:35.1,1058,2285.5,42,-,-,,#VALUE!,239.4333333,#VALUE!
40:36.1,1059,2176.75,41,-,-,,#VALUE!,228.0404762,#VALUE!
40:37.1,1060,2229.25,41,-,-,,#VALUE!,233.5404762,#VALUE!
40:38.1,1061,2216.25,41,-,-,,#VALUE!,232.1785714,#VALUE!
40:39.1,1062,2076,38,-,-,,#VALUE!,217.4857143,#VALUE!
40:40.1,1063,2048.75,38,-,-,,#VALUE!,214.6309524,#VALUE!
40:41.1,1064,2212,41,7.26861715,31.37825012,,231.6450765,231.7333333,0.999619145
40:42.1,1065,2373.75,44,7.26861715,31.37825012,,231.6450765,248.6785714,0.93150397
40:43.1,1066,2553,47,16.21232986,60.63964462,,267.3552914,267.4571429,0.999619186
40:44.1,1067,2711.75,49,16.21232986,60.63964462,,267.3552914,284.0880952,0.941099947
40:45.1,1068,2671.75,50,8.67900181,30.56202507,,283.9799323,279.897619,1.014585023
40:46.1,1069,2438,45,8.67900181,30.56202507,,283.9799323,255.4095238,1.111861171
40:47.1,1070,2239.75,45,8.67900181,30.56202507,,283.9799323,234.6404762,1.210276832
40:48.1,1071,2239.75,42,8.67900181,30.56202507,,283.9799323,234.6404762,1.210276832
40:49.1,1072,1694.75,31,-,-,,#VALUE!,177.5452381,#VALUE!
40:50.1,1073,1345,25,-,-,,#VALUE!,140.9047619,#VALUE!
40:51.1,1074,1457.25,27,5.25999641,34.46778488,,152.6061634,152.6642857,0.99961928
40:52.1,1075,1622,30,8.97712231,52.85040283,,169.8591085,169.9238095,0.999619235
40:53.1,1076,1761.5,32,8.97712231,52.85040283,,169.8591085,184.5380952,0.920455521
40:54.1,1077,1918,35,9.7646246,48.61485291,,200.8568167,200.9333333,0.999619194
40:55.1,1078,2003.75,37,9.7646246,48.61485291,,200.8568167,209.9166667,0.956840731
40:56.1,1079,1937.25,36,2.07296729,10.21806908,,202.8727026,202.95,0.999619131
40:57.1,1080,1800.5,35,2.07296729,10.21806908,,202.8727026,188.6238095,1.075541328
40:58.1,1081,1787.25,32,2.07296729,10.21806908,,202.8727026,187.2357143,1.083514988
40:59.1,1082,1736.75,32,-,-,,#VALUE!,181.9452381,#VALUE!
41:00.1,1083,1809.25,33,-,-,,#VALUE!,189.5404762,#VALUE!
41:01.1,1084,1868.75,35,5.79590511,29.61638641,,195.6992669,195.7738095,0.999619241
41:02.1,1085,1889.5,34,5.79590511,29.61638641,,195.6992669,197.947619,0.988641682
41:03.1,1086,1732.25,32,5.79590511,29.61638641,,195.6992669,181.4738095,1.078388487
41:04.1,1087,1648.25,30,5.79590511,29.61638641,,195.6992669,172.6738095,1.133346554
41:05.1,1088,1365.5,28,-,-,,#VALUE!,143.052381,#VALUE!
41:06.1,1089,1103.5,25,-,-,,#VALUE!,115.6047619,#VALUE!
41:07.1,1090,953.75,21,-,-,,#VALUE!,99.91666667,#VALUE!
41:08.1,1091,872.25,20,-,-,,#VALUE!,91.37857143,#VALUE!
41:09.1,1092,1049.75,19,-,-,,#VALUE!,109.9738095,#VALUE!
41:10.1,1093,1446.75,18,-,-,2,#VALUE!,151.5642857,#VALUE!
41:11.1,1094,1570.5,20,1.15226293,7.00608921,,164.4659232,164.5285714,0.999619226
41:12.1,1095,1520.25,20,1.15226293,7.00608921,,164.4659232,159.2642857,1.032660414
41:13.1,1096,1311.75,19,1.15226293,7.00608921,,164.4659232,137.4214286,1.196799691
41:14.1,1097,1211,15,-,-,,#VALUE!,126.8666667,#VALUE!
41:15.1,1098,1077.5,14,-,-,,#VALUE!,112.8809524,#VALUE!
41:16.1,1099,1026,13,-,-,,#VALUE!,107.4857143,#VALUE!
41:17.1,1100,972.75,12,-,-,,#VALUE!,101.9071429,#VALUE!
41:18.1,1101,1023,13,-,-,,#VALUE!,107.1714286,#VALUE!
41:19.1,1102,1204.75,11,-,-,,#VALUE!,126.2119048,#VALUE!
41:20.1,1103,974,10,-,-,,#VALUE!,102.0380952,#VALUE!
41:21.1,1104,922.25,8,-,-,,#VALUE!,96.61666667,#VALUE!
41:22.1,1105,940.75,5,-,-,,#VALUE!,98.5547619,#VALUE!
41:23.1,1106,957.25,4,-,-,,#VALUE!,100.2833333,#VALUE!
41:24.1,1107,1259,5,-,-,,#VALUE!,131.8952381,#VALUE!
41:25.1,1108,1543.25,5,-,-,,#VALUE!,161.6738095,#VALUE!
41:26.1,1109,1098.5,5,-,-,,#VALUE!,115.0809524,#VALUE!
41:27.1,1110,971.75,4,-,-,,#VALUE!,101.802381,#VALUE!
41:28.1,1111,877.25,4,-,-,1,#VALUE!,91.90238095,#VALUE!
41:29.1,1112,876,5,-,-,,#VALUE!,91.77142857,#VALUE!
41:30.1,1113,1780.5,5,0.27278963,1.4630121,,186.4575351,186.5285714,0.999619167
41:31.1,1114,1485.75,7,0.27278963,1.4630121,,186.4575351,155.65,1.197928269
41:32.1,1115,1131.25,8,1.37903857,8.86324406,,155.5907251,118.5119048,1.312870006
41:33.1,1116,964.25,8,1.37903857,8.86324406,,155.5907251,101.0166667,1.540248062
41:34.1,1117,978.75,7,1.37903857,8.86324406,,155.5907251,102.5357143,1.517429573
41:35.1,1118,1162.25,8,0.44684461,3.67129278,,121.7131503,121.7595238,0.999619139
41:36.1,1119,1398,9,0.44684461,3.67129278,,121.7131503,146.4571429,0.831049602
41:37.1,1120,1327,9,0.51331663,3.69382644,,138.9660934,139.0190476,0.999619086
41:38.1,1121,1210,8,0.51331663,3.69382644,,138.9660934,126.7619048,1.096276469
41:39.1,1122,1282,9,0.51331663,3.69382644,,138.9660934,134.3047619,1.03470712
41:40.1,1123,1321,9,0.51331663,3.69382644,,138.9660934,138.3904762,1.00415937
41:41.1,1124,1511.5,10,0.57459962,3.63010526,,158.2873164,158.347619,0.999619176
41:42.1,1125,1570.75,10,0.57459962,3.63010526,,158.2873164,164.5547619,0.961912707
41:43.1,1126,1532.75,10,0.57459962,3.63010526,,158.2873164,160.5738095,0.985760486
41:44.1,1127,1544.75,10,0.57459962,3.63010526,,158.2873164,161.8309524,0.978102854
41:45.1,1128,1580,11,0.64615124,3.90516281,,165.4607686,165.5238095,0.999619143
41:46.1,1129,1693.25,11,0.64615124,3.90516281,,165.4607686,177.3880952,0.932761403
41:47.1,1130,1821.5,12,0.63983005,3.35426569,,190.7511536,190.8238095,0.999619252
41:48.1,1131,1988,13,1.37813568,6.61968946,,208.1873611,208.2666667,0.999619211
41:49.1,1132,2062.25,14,1.37813568,6.61968946,,208.1873611,216.0452381,0.963628557
41:50.1,1133,1307.75,15,1.56105113,11.39867687,2,136.9502046,137.002381,0.999619158
41:51.1,1134,1460,18,1.56105113,11.39867687,,136.9502046,152.952381,0.89537805
41:52.1,1135,1775.75,22,7.70176125,41.41619873,,185.9601191,186.0309524,0.999619239
41:53.1,1136,2027.75,25,7.70176125,41.41619873,,185.9601191,212.4309524,0.875390884
41:54.1,1137,2261.25,28,9.0289278,38.12849426,,236.8026321,236.8928571,0.999619132
41:55.1,1138,2434.5,30,9.0289278,38.12849426,,236.8026321,255.0428571,0.928481726
41:56.1,1139,2593.75,32,7.20164585,26.51341438,,271.6227245,271.7261905,0.999619227
41:57.1,1140,2755.75,34,7.20870972,24.97927094,,288.5876748,288.697619,0.999619172
41:58.1,1141,2171.5,34,7.20870972,24.97927094,,288.5876748,227.4904762,1.268570358
41:59.1,1142,1582.75,33,7.20870972,24.97927094,,288.5876748,165.8119048,1.740452082
42:00.1,1143,1810.25,33,7.20870972,24.97927094,,288.5876748,189.6452381,1.521723813
42:01.1,1144,1771.25,33,-,-,,#VALUE!,185.5595238,#VALUE!
42:02.1,1145,1830,34,-,-,,#VALUE!,191.7142857,#VALUE!
42:03.1,1146,1863,35,4.03938293,20.7044735,,195.0971093,195.1714286,0.99961921
42:04.1,1147,1812.25,34,4.03938293,20.7044735,,195.0971093,189.8547619,1.027612409
42:05.1,1148,1743,32,4.03938293,20.7044735,,195.0971093,182.6,1.06843981
42:06.1,1149,1653,30,4.03938293,20.7044735,,195.0971093,173.1714286,1.126612577
42:07.1,1150,1563.5,29,-,-,,#VALUE!,163.7952381,#VALUE!
42:08.1,1151,1358.25,25,-,-,,#VALUE!,142.2928571,#VALUE!
42:09.1,1152,1194.25,22,-,-,,#VALUE!,125.1119048,#VALUE!
42:10.1,1153,1036.5,19,-,-,,#VALUE!,108.5857143,#VALUE!
42:11.1,1154,977.75,18,-,-,,#VALUE!,102.4309524,#VALUE!
42:12.1,1155,822.5,18,-,-,,#VALUE!,86.16666667,#VALUE!
42:13.1,1156,1055.25,20,2.46772647,22.33077049,,110.5078963,110.55,0.999619144
42:14.1,1157,1341.75,22,4.65989113,37.19767761,,125.2737114,140.5642857,0.891220062
42:15.1,1158,1414.25,26,6.11571169,41.29360962,,148.1031023,148.1595238,0.999619184
42:16.1,1159,1360,26,6.11571169,41.29360962,,148.1031023,142.4761905,1.039493699
42:17.1,1160,1315.75,25,6.11571169,41.29360962,,148.1031023,137.8404762,1.074452921
42:18.1,1161,1370.5,25,6.11571169,41.29360962,,148.1031023,143.5761905,1.031529683
42:19.1,1162,1393,26,2.79745078,19.1766777,,145.8777596,145.9333333,0.999619184
42:20.1,1163,1369.75,25,2.79745078,19.1766777,,145.8777596,143.497619,1.016586621
42:21.1,1164,1424.25,26,2.79745078,19.1766777,,145.8777596,149.2071429,0.977686167
42:22.1,1165,1396.5,27,2.75417399,18.83269501,,146.2442836,146.3,0.999619163
42:23.1,1166,1388,27,2.75417399,18.83269501,,146.2442836,145.4095238,1.00574075
42:24.1,1167,1496.5,28,1.68977082,10.78234291,,156.7164794,156.7761905,0.999619131
42:25.1,1168,1520.75,28,1.68977082,10.78234291,,156.7164794,159.3166667,0.983679126
42:26.1,1169,1554,29,1.68977082,10.78234291,,156.7164794,162.8,0.962631937
42:27.1,1170,1526.5,28,1.68977082,10.78234291,,156.7164794,159.9190476,0.979973816
42:28.1,1171,1487.25,27,-,-,,#VALUE!,155.8071429,#VALUE!
42:29.1,1172,1457.75,27,-,-,,#VALUE!,152.7166667,#VALUE!
42:30.1,1173,1367.5,26,-,-,,#VALUE!,143.2619048,#VALUE!
42:31.1,1174,1409,26,-,-,,#VALUE!,147.6095238,#VALUE!
42:32.1,1175,1368.5,26,-,-,,#VALUE!,143.3666667,#VALUE!
42:33.1,1176,1396.25,25,-,-,,#VALUE!,146.2738095,#VALUE!
42:34.1,1177,1368.5,26,-,-,,#VALUE!,143.3666667,#VALUE!
42:35.1,1178,1416.25,26,-,-,,#VALUE!,148.3690476,#VALUE!
42:36.1,1179,1417.75,26,-,-,,#VALUE!,148.5261905,#VALUE!
42:37.1,1180,1284.75,25,-,-,,#VALUE!,134.5928571,#VALUE!
42:38.1,1181,892,23,-,-,,#VALUE!,93.44761905,#VALUE!
42:39.1,1182,950.5,23,-,-,,#VALUE!,99.57619048,#VALUE!
42:40.1,1183,886.5,23,-,-,,#VALUE!,92.87142857,#VALUE!
42:41.1,1184,922.5,22,-,-,,#VALUE!,96.64285714,#VALUE!
42:42.1,1185,1776,21,-,-,,#VALUE!,186.0571429,#VALUE!
42:43.1,1186,1854,22,-,-,,#VALUE!,194.2285714,#VALUE!
42:44.1,1187,1772.25,23,2.83464789,14.5999527,,194.1545941,185.6642857,1.045729357
42:45.1,1188,1671,21,2.83464789,14.5999527,,194.1545941,175.0571429,1.109092671
42:46.1,1189,1600,20,2.83464789,14.5999527,,194.1545941,167.6190476,1.158308658
42:47.1,1190,1649.75,20,-,-,,#VALUE!,172.8309524,#VALUE!
42:48.1,1191,1654.5,21,1.21636331,7.02034712,,173.2625594,173.3285714,0.999619151
42:49.1,1192,1680.75,21,1.21636331,7.02034712,,173.2625594,176.0785714,0.984007071
42:50.1,1193,1730.25,22,1.16042292,6.40426779,,181.1952526,181.2642857,0.999619158
42:51.1,1194,1788,22,1.16042292,6.40426779,,181.1952526,187.3142857,0.967332801
42:52.1,1195,1842.25,23,2.42396784,12.56435776,,192.924134,192.997619,0.999619244
42:53.1,1196,1873.5,23,2.42396784,12.56435776,,192.924134,196.2714286,0.982945584
42:54.1,1197,1752.25,21,2.42396784,12.56435776,,192.924134,183.5690476,1.050962221
42:55.1,1198,1193.25,17,2.42396784,12.56435776,,192.924134,125.0071429,1.543304883
42:56.1,1199,1029.25,13,-,-,,#VALUE!,107.8261905,#VALUE!
42:57.1,1200,990.25,9,-,-,,#VALUE!,103.7404762,#VALUE!
42:58.1,1201,917.25,4,-,-,,#VALUE!,96.09285714,#VALUE!
42:59.1,1202,925,3,-,-,,#VALUE!,96.9047619,#VALUE!
43:00.1,1203,930.75,0,-,-,1,#VALUE!,97.50714286,#VALUE!
43:01.1,1204,912.25,0,-,-,,#VALUE!,95.56904762,#VALUE!
43:02.1,1205,913.75,0,-,-,,#VALUE!,95.72619048,#VALUE!
43:03.1,1206,898.5,0,-,-,,#VALUE!,94.12857143,#VALUE!
43:04.1,1207,899,0,-,-,,#VALUE!,94.18095238,#VALUE!
43:05.1,1208,900.75,0,-,-,,#VALUE!,94.36428571,#VALUE!
43:06.1,1209,900.75,0,-,-,,#VALUE!,94.36428571,#VALUE!
43:07.1,1210,905.25,0,-,-,,#VALUE!,94.83571429,#VALUE!
43:08.1,1211,1474.75,0,-,-,,#VALUE!,154.497619,#VALUE!
43:09.1,1212,2009.5,0,-,-,,#VALUE!,210.5190476,#VALUE!
43:10.1,1213,1900.5,2,-,-,,#VALUE!,199.1,#VALUE!
43:11.1,1214,1906.75,3,0.56921673,2.85066342,,199.6786874,199.7547619,0.999619161
43:12.1,1215,1939.75,5,1.05082381,5.17304373,,203.1345306,203.2119048,0.999619244
43:13.1,1216,1896,6,1.05082381,5.17304373,,203.1345306,198.6285714,1.022685353
43:14.1,1217,1937,8,1.45897174,7.19249058,,202.8465277,202.9238095,0.999619159
43:15.1,1218,1907.5,9,0.91288418,4.56996822,,199.7572272,199.8333333,0.999619152
43:16.1,1219,1190.5,8,0.91288418,4.56996822,,199.7572272,124.7190476,1.601657734
43:17.1,1220,1030,7,0.91288418,4.56996822,,199.7572272,107.9047619,1.851236439
43:18.1,1221,1084,6,0.91288418,4.56996822,,199.7572272,113.5619048,1.759016174
43:19.1,1222,1219.75,7,-,-,,#VALUE!,127.7833333,#VALUE!
43:20.1,1223,1260.5,7,0.38977978,2.95283055,,132.0020819,132.052381,0.999619097
43:21.1,1224,1242.5,7,0.38977978,2.95283055,2,132.0020819,130.1666667,1.014100501
43:22.1,1225,1136.5,7,0.38977978,2.95283055,,132.0020819,119.0619048,1.108684446
43:23.1,1226,1018.5,7,0.38977978,2.95283055,,132.0020819,106.7,1.237132913
43:24.1,1227,928.25,6,-,-,,#VALUE!,97.2452381,#VALUE!
43:25.1,1228,882.75,6,-,-,,#VALUE!,92.47857143,#VALUE!
43:26.1,1229,855,6,-,-,,#VALUE!,89.57142857,#VALUE!
43:27.1,1230,846.75,6,-,-,,#VALUE!,88.70714286,#VALUE!
43:28.1,1231,835.75,6,-,-,,#VALUE!,87.5547619,#VALUE!
43:29.1,1232,821,5,-,-,,#VALUE!,86.00952381,#VALUE!
43:30.1,1233,822,5,-,-,,#VALUE!,86.11428571,#VALUE!
43:31.1,1234,822.5,5,-,-,,#VALUE!,86.16666667,#VALUE!
43:32.1,1235,1058.5,6,0.33085662,2.98477077,,110.8482512,110.8904762,0.999619219
43:33.1,1236,1343,9,2.68569636,19.09602165,,140.6416692,140.6952381,0.999619256
43:34.1,1237,1781,10,2.68569636,19.09602165,,140.6416692,186.5809524,0.753783639
43:35.1,1238,1781,12,2.09643626,11.24034786,,186.5099093,186.5809524,0.999619237
43:36.1,1239,2308,14,2.67908931,12.243536,,218.8166319,241.7904762,0.904984495
43:37.1,1240,2573.25,16,2.67908931,12.243536,,218.8166319,269.5785714,0.811698907
43:38.1,1241,2573.25,17,2.97797751,11.05099678,,269.4759187,269.5785714,0.99961921
43:39.1,1242,2807.25,18,1.77574754,6.04035044,,293.9808804,294.0928571,0.999619247
43:40.1,1243,2728.5,18,1.77574754,6.04035044,,293.9808804,285.8428571,1.02847027
43:41.1,1244,1356,18,1.77574754,6.04035044,,293.9808804,142.0571429,2.069455111
43:42.1,1245,1747.75,19,1.8951726,11.85339832,,159.8843259,183.097619,0.873219033
43:43.1,1246,1850,22,1.8951726,11.85339832,,159.8843259,193.8095238,0.824955981
43:44.1,1247,1715,23,5.38367987,27.78878212,,193.7357257,179.6666667,1.078306451
43:45.1,1248,1536,19,5.38367987,27.78878212,,193.7357257,160.9142857,1.203968466
43:46.1,1249,1513.5,19,5.38367987,27.78878212,,193.7357257,158.5571429,1.221866907
43:47.1,1250,1762,19,5.38367987,27.78878212,,193.7357257,184.5904762,1.049543453
43:48.1,1251,2044.75,25,3.44593048,18.67508698,,184.5201837,214.2119048,0.861390892
43:49.1,1252,2352,29,12.38927364,50.3003006,,246.3061551,246.4,0.999619136
43:50.1,1253,2708.5,33,13.46482754,47.47161102,,283.6395743,283.747619,0.999619222
43:51.1,1254,2948.75,37,13.46482754,47.47161102,,283.6395743,308.9166667,0.918175045
43:52.1,1255,3168.75,39,13.45994568,40.56181335,,331.8378684,331.9642857,0.999619184
43:53.1,1256,3232,41,8.36451435,24.71333885,,338.4615248,338.5904762,0.999619152
43:54.1,1257,2322.75,39,8.36451435,24.71333885,,338.4615248,243.3357143,1.390924163
43:55.1,1258,1459.25,37,8.36451435,24.71333885,,338.4615248,152.8738095,2.213992873
43:56.1,1259,1985.5,37,8.36451435,24.71333885,,338.4615248,208.0047619,1.627181617
43:57.1,1260,2045.75,38,-,-,3,#VALUE!,214.3166667,#VALUE!
43:58.1,1261,2125.25,39,4.50102663,20.2238369,,222.5604692,222.6452381,0.999619265
43:59.1,1262,2168.5,40,4.03453398,17.76626015,,227.0896602,227.1761905,0.999619105
44:00.1,1263,2061,39,4.03453398,17.76626015,,227.0896602,215.9142857,1.051758384
44:01.1,1264,2051,38,4.03453398,17.76626015,,227.0896602,214.8666667,1.056886411
44:02.1,1265,2071,38,4.03453398,17.76626015,,227.0896602,216.9619048,1.046679879
44:03.1,1266,2112.5,39,-,-,,#VALUE!,221.3095238,#VALUE!
44:04.1,1267,2197.5,41,7.37758493,32.05880737,,230.1266184,230.2142857,0.999619193
44:05.1,1268,2257.25,42,4.29643488,18.17567635,,236.383769,236.4738095,0.999619237
