GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Drivers demand engine % torque(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 2 sensor 1(V),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Speed (GPS)(km/h),Speed (OBD)(km/h),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Mon Aug 16 07:00:36 GMT+05:30 2021,16-Aug-2021 07:00:36.026,73.7925379,18.63009403,0.0,4.288,491.5767822265625,0.0,8.9487915,0.12771606,-0.42376709,-0.10293484,-,-,-0.0109149,-0.02586995,-0.08566386,0.01684066,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.41176605,16.86274529,-,904.75,-,-,-,-,-,-,-,-,0.97202903,16.20048332,-15.625,0.78125,4.28800011,491.57678223,0,18.63009453,73.7925415,11,0,-,26,5.22135878,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Mon Aug 16 07:00:37 GMT+05:30 2021,16-Aug-2021 07:00:37.019,73.79253792,18.63009402,0.0,3.216,491.5789794921875,0.0,9.86099243,-0.00875854,0.1484375,-0.04691767,-,-,-0.05916283,-0.07468251,-0.08493281,-0.09176427,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.41176605,16.86274529,-,897.75,-,-,-,-,-,-,-,-,0.9801541,16.33590126,-15.625,-0.78125,3.21600008,491.57897949,0,18.63009453,73.7925415,11,0,-,26,5.22135878,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Mon Aug 16 07:00:38 GMT+05:30 2021,16-Aug-2021 07:00:38.019,73.79253794,18.63009401,0.0,3.216,491.5819091796875,0.0,8.95118713,-0.07099915,-0.11491394,-0.04886208,-,-,-0.06887583,-0.08297919,-0.08517546,-0.06101338,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.80392265,16.86274529,-,873.25,-,-,-,-,-,-,-,-,0.91853893,15.30898285,-15.625,0.78125,3.21600008,491.58190918,0,18.63009453,73.7925415,10,0,-,26,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Mon Aug 16 07:00:39 GMT+05:30 2021,16-Aug-2021 07:00:39.020,73.79253795,18.63009399,0.0,3.216,491.581787109375,0.0,9.55932617,0.35516357,0.28491211,-0.0407092,-,-,-0.01082753,-0.02586995,-0.06711534,-0.08639492,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.41176605,16.86274529,-,905.5,-,-,-,-,-,-,-,-,0.91975021,15.32917023,-15.625,0.78125,3.21600008,491.58178711,0,18.63009453,73.7925415,11,0,-,26,5.07632065,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Mon Aug 16 07:00:40 GMT+05:30 2021,16-Aug-2021 07:00:40.019,73.79253798,18.63009394,0.0,4.288,491.5809326171875,0.0,9.45158386,-0.15719604,0.33518982,-0.04848996,-,-,-0.0219783,-0.03660865,-0.06931316,-0.07809824,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.41176605,16.86274529,-,883.25,-,-,-,-,-,-,-,-,0.95371753,15.89529133,-15.625,0.78125,4.28800011,491.58093262,0,18.63009453,73.7925415,10,0,-,26,5.07632065,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Mon Aug 16 07:00:41 GMT+05:30 2021,16-Aug-2021 07:00:41.018,73.792538,18.63009391,0.0,3.216,491.581787109375,0.0,9.6526947,0.2713623,0.22984314,-0.05100762,-,-,-0.02696769,-0.04075854,-0.05125149,-0.02879727,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.80392265,16.86274529,-,904,-,-,-,-,-,-,-,-,0.92718327,15.45305443,-15.625,-0.78125,3.21600008,491.58178711,0,18.63009453,73.7925415,11,0,-,27,5.07632065,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Mon Aug 16 07:00:42 GMT+05:30 2021,16-Aug-2021 07:00:42.019,73.79253805,18.63009387,0.0,3.216,491.57958984375,0.0,9.6526947,0.15644836,-0.02154541,-0.04533605,-,-,-0.02611503,-0.04100274,-0.04856681,0.01220392,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.01960754,16.86274529,-,880.25,-,-,-,-,-,-,-,-,0.94896543,15.81609058,-15.625,1.5625,3.21600008,491.57958984,0,18.63009453,73.7925415,11,0,-,27,5.07632065,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Mon Aug 16 07:00:43 GMT+05:30 2021,16-Aug-2021 07:00:43.020,73.79253807,18.63009383,0.0,3.216,491.57720947265625,0.0,9.61677551,0.0894165,0.31124878,-0.04748735,-,-,-0.01786413,-0.03367977,-0.08566386,-0.09737782,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.41176605,16.86274529,-,887.25,-,-,-,-,-,-,-,-,0.95043504,15.84058475,-15.625,-0.78125,3.21600008,491.57720947,0,18.63009453,73.7925415,11,0,-,27,5.22135878,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Mon Aug 16 07:00:44 GMT+05:30 2021,16-Aug-2021 07:00:44.019,73.79253812,18.63009378,0.0,3.216,491.574951171875,0.0,9.63354492,0.07743835,0.53390503,-0.04857197,-,-,-0.04708584,-0.06077073,-0.06199019,-0.04417427,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.80392265,16.86274529,-,887.25,-,-,-,-,-,-,-,-,0.95043504,15.84058475,-15.625,0.78125,3.21600008,491.57495117,0,18.63009453,73.7925415,11,0,-,27,5.22135878,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
Mon Aug 16 07:00:45 GMT+05:30 2021,16-Aug-2021 07:00:45.019,73.79253816,18.63009374,0.0,3.216,491.576904296875,0.0,9.08047485,0.06307983,0.28730774,-0.05198473,-,-,-0.03651519,-0.05052043,-0.06174599,-0.0058562,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,82,-,29.41176605,16.86274529,-,893.25,-,-,-,-,-,-,-,-,0.93138224,15.52303791,-15.625,-1.5625,3.21600008,491.5769043,0,18.63009453,73.7925415,11,0,-,27,5.07632065,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,14,-
